model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,automation_Claude-Opus-4.8,3.0,0.6458333333333333
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,6.0,0.47916666666666663
DeepSeek-V3.1,automation_DeepSeek-V3.1,1.0,0.8333333333333333
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,10.0,0.07142857142857142
GPT-4.1,automation_GPT-4.1,4.0,0.6160714285714286
GPT-5-Mini,automation_GPT-5-Mini,9.0,0.1875
GPT-O3-Mini,automation_GPT-O3-Mini,5.0,0.6071428571428572
GPT-O4-Mini,automation_GPT-O4-Mini,7.0,0.45535714285714285
GPT-OSS-120B,automation_GPT-OSS-120B,2.0,0.7142857142857143
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,8.0,0.42658730158730157
