model_label,condition,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,google/gemini-3.1-pro,gpt-4.1
Claude-Opus-4.8,automation_Claude-Opus-4.8,,0.625,0.8333333333333334,0.2222222222222222
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,,0.75,0.5833333333333334,0.6666666666666666
DeepSeek-V3.1,automation_DeepSeek-V3.1,0.7142857142857143,,0.875,0.5555555555555556
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,0.0,0.0,0.0,
GPT-4.1,automation_GPT-4.1,0.2857142857142857,0.5833333333333334,0.3333333333333333,
GPT-5-Mini,automation_GPT-5-Mini,0.6190476190476191,0.6666666666666666,0.4583333333333333,
GPT-O3-Mini,automation_GPT-O3-Mini,0.14285714285714285,0.16666666666666666,0.125,
GPT-O4-Mini,automation_GPT-O4-Mini,0.6666666666666666,0.4583333333333333,0.4583333333333333,
GPT-OSS-120B,automation_GPT-OSS-120B,0.8571428571428571,0.5833333333333334,0.8333333333333334,
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,0.7142857142857143,0.6666666666666666,,0.5555555555555556
