model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,5.0,0.5
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,9.0,0.25
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,7.0,0.44047619047619047
GPT-4.1,scaffold_GPT-4.1,10.0,0.21428571428571427
GPT-5-Mini,scaffold_GPT-5-Mini,1.0,0.7678571428571429
GPT-O3-Mini,scaffold_GPT-O3-Mini,8.0,0.2916666666666667
GPT-O4-Mini,scaffold_GPT-O4-Mini,3.5,0.6071428571428571
GPT-OSS-120B,scaffold_GPT-OSS-120B,6.0,0.48809523809523814
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.5,0.6071428571428571
plain,plain,2.0,0.75
