model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,automation_Claude-Opus-4.8,2.0,0.7222222222222222
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,6.0,0.4861111111111111
DeepSeek-V3.1,automation_DeepSeek-V3.1,3.0,0.6686507936507936
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,10.0,0.0
GPT-4.1,automation_GPT-4.1,8.0,0.3511904761904762
GPT-5-Mini,automation_GPT-5-Mini,5.0,0.5297619047619048
GPT-O3-Mini,automation_GPT-O3-Mini,9.0,0.2976190476190476
GPT-O4-Mini,automation_GPT-O4-Mini,4.0,0.6011904761904762
GPT-OSS-120B,automation_GPT-OSS-120B,1.0,0.9166666666666666
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,7.0,0.42658730158730157
