model_label,condition,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,gpt-4.1
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,,4.666666666666667,10.666666666666666
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,,17.166666666666668,9.166666666666666
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,6.0,,3.0
GPT-4.1,scaffold_GPT-4.1,10.5,11.0,
GPT-5-Mini,scaffold_GPT-5-Mini,2.0,5.666666666666667,
GPT-O3-Mini,scaffold_GPT-O3-Mini,17.5,19.166666666666668,
GPT-O4-Mini,scaffold_GPT-O4-Mini,10.0,12.0,
GPT-OSS-120B,scaffold_GPT-OSS-120B,12.5,8.833333333333334,
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,22.0,24.833333333333332,11.333333333333334
plain,plain,19.5,22.666666666666668,5.833333333333333
