model_label,condition,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,gpt-4.1
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,,0.7435897435897436,0.4761904761904762
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,,0.4230769230769231,0.4761904761904762
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,0.753623188405797,,0.5952380952380952
GPT-4.1,scaffold_GPT-4.1,0.6086956521739131,0.564102564102564,
GPT-5-Mini,scaffold_GPT-5-Mini,0.9565217391304347,0.717948717948718,
GPT-O3-Mini,scaffold_GPT-O3-Mini,0.2753623188405797,0.3846153846153846,
GPT-O4-Mini,scaffold_GPT-O4-Mini,0.608695652173913,0.5512820512820513,
GPT-OSS-120B,scaffold_GPT-OSS-120B,0.5072463768115942,0.6282051282051282,
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,0.10144927536231885,0.20512820512820515,0.4047619047619047
plain,plain,0.18840579710144925,0.2820512820512821,0.5476190476190476
