model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,9.0,0.20833333333333334
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,6.0,0.5
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.0,0.6666666666666666
GPT-4.1,scaffold_GPT-4.1,5.0,0.5119047619047619
GPT-5-Mini,scaffold_GPT-5-Mini,10.0,0.16666666666666666
GPT-O3-Mini,scaffold_GPT-O3-Mini,7.0,0.3511904761904762
GPT-O4-Mini,scaffold_GPT-O4-Mini,1.0,0.9523809523809524
GPT-OSS-120B,scaffold_GPT-OSS-120B,2.0,0.7321428571428571
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,4.0,0.6547619047619048
plain,plain,8.0,0.3169642857142857
