model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,automation_Claude-Opus-4.8,3.0,0.6805555555555555
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,4.0,0.5694444444444444
DeepSeek-V3.1,automation_DeepSeek-V3.1,6.0,0.5376984126984127
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,10.0,0.041666666666666664
GPT-4.1,automation_GPT-4.1,7.0,0.39285714285714285
GPT-5-Mini,automation_GPT-5-Mini,2.0,0.7916666666666666
GPT-O3-Mini,automation_GPT-O3-Mini,8.0,0.2976190476190476
GPT-O4-Mini,automation_GPT-O4-Mini,9.0,0.22023809523809523
GPT-OSS-120B,automation_GPT-OSS-120B,1.0,0.9047619047619048
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,5.0,0.5634920634920635
