model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,automation_Claude-Opus-4.8,1.0,0.7638888888888888
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,2.0,0.6527777777777778
DeepSeek-V3.1,automation_DeepSeek-V3.1,3.0,0.6329365079365079
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,10.0,0.0
GPT-4.1,automation_GPT-4.1,9.0,0.30952380952380953
GPT-5-Mini,automation_GPT-5-Mini,4.0,0.6190476190476191
GPT-O3-Mini,automation_GPT-O3-Mini,8.0,0.39285714285714285
GPT-O4-Mini,automation_GPT-O4-Mini,6.0,0.5595238095238095
GPT-OSS-120B,automation_GPT-OSS-120B,5.0,0.5892857142857143
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,7.0,0.4801587301587302
