model_label,condition,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,gpt-4.1
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,,0.4943589743589744,0.5476190476190477
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,,0.3974358974358974,0.42857142857142855
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,0.4492753623188406,,0.5
GPT-4.1,scaffold_GPT-4.1,0.5797101449275363,0.5384615384615384,
GPT-5-Mini,scaffold_GPT-5-Mini,0.36231884057971014,0.5,
GPT-O3-Mini,scaffold_GPT-O3-Mini,0.4202898550724638,0.5543589743589744,
GPT-O4-Mini,scaffold_GPT-O4-Mini,0.4492753623188406,0.5076923076923077,
GPT-OSS-120B,scaffold_GPT-OSS-120B,0.5072463768115942,0.5512820512820512,
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,0.5942028985507247,0.4743589743589744,0.5238095238095238
plain,plain,0.6376811594202899,0.4871794871794872,0.5
