model_id,model_label,scaffold_path,scaffold_sha256,n_chars
gpt-4.1,GPT-4.1,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/market_trends/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-4.1.md,b71b1be996621afd6a5affb653d94f8fdc3c2042b8443f91503a21c31fd370bd,2296
gpt-5-pro,GPT-5-Pro,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/market_trends/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-5-Pro.md,3d2c9cc3b86f68fe81b6353198d60bdeac0ea7eb8e2172ffb347b26628f634eb,51
o4-mini-2025-04-16,GPT-O4-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/market_trends/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-O4-Mini.md,1797a2c59bb078f274b512f42e785b5690d68f30ab0be60b229b7c548896ca4e,2179
o3-mini-2025-01-31,GPT-O3-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/market_trends/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-O3-Mini.md,3638767303a91d8fca41c82d41d103d12745738718388538c5f970a7dd2ec104,987
openai/gpt-oss-120b,GPT-OSS-120B,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/market_trends/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-OSS-120B.md,ea60910682ab08178a91eb4463c63ff1d49796c91d243b15fcbf33f329b47d5c,3807
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/market_trends/20260609_stable_frontier_v2/augmentation/scaffolds/Claude-Sonnet-4.6.md,ef17c154d437adaf23ea91d05629e4ef9f1252583d8c4197bea316031748abab,5994
anthropic/claude-opus-4-8,Claude-Opus-4.8,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/market_trends/20260609_stable_frontier_v2/augmentation/scaffolds/Claude-Opus-4.8.md,434c3f0a6af80c5b14d1520466a1536d8445115c77f41c0e82ead93ac5bc6110,2827
google/gemini-3.1-pro,Gemini-3.1-Pro,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/market_trends/20260609_stable_frontier_v2/augmentation/scaffolds/Gemini-3.1-Pro.md,4b9c357ca2397900b9a58c49290afb56b2b95ff63604590c46e610c2b9e7b54b,814
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/market_trends/20260609_stable_frontier_v2/augmentation/scaffolds/DeepSeek-V3.1.md,5f898eacd453845912962ca08e4752eeba658d187555db54ef60f185604fb754,4423
gpt-5-mini-2025-08-07,GPT-5-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/market_trends/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-5-Mini.md,b21130ab3b505fdb2ae8c99819027a380f3877d103d1646d4ee3cd2643973f8f,2733
