model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,5.0,0.625
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,7.0,0.375
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,2.5,0.6785714285714286
GPT-4.1,scaffold_GPT-4.1,2.5,0.6785714285714286
GPT-5-Mini,scaffold_GPT-5-Mini,6.0,0.5982142857142857
GPT-O3-Mini,scaffold_GPT-O3-Mini,10.0,0.19642857142857142
GPT-O4-Mini,scaffold_GPT-O4-Mini,4.0,0.6517857142857143
GPT-OSS-120B,scaffold_GPT-OSS-120B,1.0,0.9285714285714286
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,8.0,0.30357142857142855
plain,plain,9.0,0.20833333333333334
