model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,6.0,0.4583333333333333
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,4.0,0.5416666666666666
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,2.0,0.6547619047619048
GPT-4.1,scaffold_GPT-4.1,7.0,0.43452380952380953
GPT-5-Mini,scaffold_GPT-5-Mini,5.0,0.5119047619047619
GPT-O3-Mini,scaffold_GPT-O3-Mini,8.0,0.36309523809523814
GPT-O4-Mini,scaffold_GPT-O4-Mini,9.0,0.33928571428571425
GPT-OSS-120B,scaffold_GPT-OSS-120B,10.0,0.3333333333333333
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.0,0.5714285714285715
plain,plain,1.0,0.71875
