model_label,condition,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,google/gemini-3.1-pro,gpt-4.1
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,,6.5,8.0,3.0
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,,9.0,1.5,3.0
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,5.0,,5.0,5.0
GPT-4.1,scaffold_GPT-4.1,2.0,2.0,3.0,
GPT-5-Mini,scaffold_GPT-5-Mini,7.0,6.5,7.0,
GPT-O3-Mini,scaffold_GPT-O3-Mini,4.0,6.5,9.0,
GPT-O4-Mini,scaffold_GPT-O4-Mini,8.0,4.0,5.0,
GPT-OSS-120B,scaffold_GPT-OSS-120B,6.0,6.5,5.0,
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.0,1.0,,3.0
plain,plain,1.0,3.0,1.5,1.0
