model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank,task_slug,task_title,mode,score,rank_value,source,judge_model
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,1.6666666666666667,0.5773502691896257,0.9107142857142856,0.0778374811346548,4,1.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.9107142857142856,1.0,panel_aggregate,aggregate
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,2.3333333333333335,1.5275252316519468,0.8273809523809524,0.1892632511379124,4,2.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.8273809523809524,2.0,panel_aggregate,aggregate
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,3.0,1.0,0.7321428571428571,0.1525714954520987,4,3.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.7321428571428571,3.0,panel_aggregate,aggregate
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,2.6666666666666665,0.5773502691896258,0.7023809523809524,0.1832714799802459,4,4.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.7023809523809524,4.0,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,4.0,1.0,0.5416666666666666,0.0721687836487032,4,5.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.5416666666666666,5.0,panel_aggregate,aggregate
plain,plain,plain,5.5,3.3166247903554,0.3526785714285714,0.3094236330564903,4,6.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.3526785714285714,6.0,panel_aggregate,aggregate
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,6.0,1.0,0.3452380952380952,0.135212103471435,4,7.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.3452380952380952,7.0,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,6.333333333333333,0.5773502691896258,0.3035714285714285,0.064384844204714,4,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.3035714285714285,8.0,panel_aggregate,aggregate
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,6.333333333333333,2.8867513459481287,0.25,0.2165063509461096,4,9.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.25,9.0,panel_aggregate,aggregate
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,7.333333333333333,2.0816659994661326,0.0833333333333333,0.1443375672974064,4,10.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.0833333333333333,10.0,panel_aggregate,aggregate
