model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,5.0,0.5
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,4.0,0.5416666666666666
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,7.0,0.3511904761904762
GPT-4.1,scaffold_GPT-4.1,8.0,0.25595238095238093
GPT-5-Mini,scaffold_GPT-5-Mini,1.0,0.9583333333333334
GPT-O3-Mini,scaffold_GPT-O3-Mini,10.0,0.22023809523809523
GPT-O4-Mini,scaffold_GPT-O4-Mini,3.0,0.6547619047619048
GPT-OSS-120B,scaffold_GPT-OSS-120B,9.0,0.25
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,6.0,0.48214285714285715
plain,plain,2.0,0.7142857142857143
