model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,automation_Claude-Opus-4.8,3.0,0.6805555555555555
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,5.0,0.5694444444444444
DeepSeek-V3.1,automation_DeepSeek-V3.1,6.0,0.5158730158730159
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,10.0,0.0
GPT-4.1,automation_GPT-4.1,8.0,0.3511904761904762
GPT-5-Mini,automation_GPT-5-Mini,2.0,0.7380952380952381
GPT-O3-Mini,automation_GPT-O3-Mini,9.0,0.2976190476190476
GPT-O4-Mini,automation_GPT-O4-Mini,7.0,0.48809523809523814
GPT-OSS-120B,automation_GPT-OSS-120B,1.0,0.7797619047619048
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,4.0,0.5793650793650794
