model_label,condition,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,google/gemini-3.1-pro,gpt-4.1
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,,0.375,0.625,0.25
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,,0.375,0.125,0.75
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,0.5714285714285714,,1.0,0.25
GPT-4.1,scaffold_GPT-4.1,0.2857142857142857,0.125,0.625,
GPT-5-Mini,scaffold_GPT-5-Mini,0.42857142857142855,0.25,0.5,
GPT-O3-Mini,scaffold_GPT-O3-Mini,0.0,0.375,0.125,
GPT-O4-Mini,scaffold_GPT-O4-Mini,0.14285714285714285,0.75,0.125,
GPT-OSS-120B,scaffold_GPT-OSS-120B,1.0,0.875,0.875,
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,0.7142857142857143,0.625,,0.5
plain,plain,0.8571428571428571,0.75,0.5,0.75
