model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank,task_slug,task_title,mode,score,rank_value,source,judge_model
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,1.0,0.0,1.0,0.0,3,1.0,counselling,Counseling session (Anthropic Econ Index),augmentation,1.0,1.0,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,2.0,0.0,0.8660714285714286,0.0126269068069026,3,2.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.8660714285714286,2.0,panel_aggregate,aggregate
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,2.0,1.4142135623730951,0.8571428571428572,0.2020305089104421,3,3.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.8571428571428572,3.0,panel_aggregate,aggregate
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,4.0,0.0,0.5357142857142857,0.0505076272276105,3,4.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.5357142857142857,4.0,panel_aggregate,aggregate
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,4.5,0.7071067811865476,0.4642857142857143,0.0505076272276105,3,5.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.4642857142857143,5.0,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,4.75,3.181980515339464,0.4375,0.0883883476483184,3,6.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.4375,6.0,panel_aggregate,aggregate
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,4.25,0.3535533905932738,0.375,0.1767766952966369,3,7.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.375,7.0,panel_aggregate,aggregate
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,5.833333333333333,1.2583057392117916,0.3035714285714285,0.064384844204714,3,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.3035714285714285,8.0,panel_aggregate,aggregate
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,7.0,0.0,0.2589285714285714,0.1641497884897342,3,9.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.2589285714285714,9.0,panel_aggregate,aggregate
plain,plain,plain,6.5,3.5,0.1666666666666666,0.2886751345948129,3,10.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.1666666666666666,10.0,panel_aggregate,aggregate
gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,1.5,0.7071067811865476,0.875,0.1767766952966369,3,1.0,counselling,Counseling session (Anthropic Econ Index),automation,0.875,1.0,panel_aggregate,aggregate
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,2.5,2.1213203435596424,0.7857142857142857,0.3030457633656632,3,2.0,counselling,Counseling session (Anthropic Econ Index),automation,0.7857142857142857,2.0,panel_aggregate,aggregate
openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,3.5,2.1213203435596424,0.6785714285714286,0.2525381361380527,3,3.0,counselling,Counseling session (Anthropic Econ Index),automation,0.6785714285714286,3.0,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,4.0,1.4142135623730951,0.6071428571428572,0.1515228816828316,3,4.0,counselling,Counseling session (Anthropic Econ Index),automation,0.6071428571428572,4.0,panel_aggregate,aggregate
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,2.0,1.4142135623730951,0.6041666666666666,0.3830161731427132,3,5.0,counselling,Counseling session (Anthropic Econ Index),automation,0.6041666666666666,5.0,panel_aggregate,aggregate
google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,3.6666666666666665,1.1547005383792517,0.4623015873015872,0.1487301375548425,3,6.0,counselling,Counseling session (Anthropic Econ Index),automation,0.4623015873015872,6.0,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,5.25,3.181980515339464,0.3541666666666666,0.0294627825494394,3,7.0,counselling,Counseling session (Anthropic Econ Index),automation,0.3541666666666666,7.0,panel_aggregate,aggregate
gpt-4.1,GPT-4.1,automation_GPT-4.1,6.75,1.0606601717798212,0.3303571428571428,0.0631345340345131,3,8.0,counselling,Counseling session (Anthropic Econ Index),automation,0.3303571428571428,8.0,panel_aggregate,aggregate
o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,6.0,1.4142135623730951,0.3214285714285714,0.2525381361380527,3,9.0,counselling,Counseling session (Anthropic Econ Index),automation,0.3214285714285714,9.0,panel_aggregate,aggregate
gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.5,0.7071067811865476,0.0,0.0,3,10.0,counselling,Counseling session (Anthropic Econ Index),automation,0.0,10.0,panel_aggregate,aggregate
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,1.5,0.7071067811865476,0.9285714285714286,0.101015254455221,3,1.0,market_trends,Market trends analysis,augmentation,0.9285714285714286,1.0,panel_aggregate,aggregate
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,2.5,0.7071067811865476,0.6785714285714286,0.2525381361380527,3,2.5,market_trends,Market trends analysis,augmentation,0.6785714285714286,2.5,panel_aggregate,aggregate
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,3.5,2.1213203435596424,0.6785714285714286,0.2525381361380527,3,2.5,market_trends,Market trends analysis,augmentation,0.6785714285714286,2.5,panel_aggregate,aggregate
