model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,automation_Claude-Opus-4.8,1.0,0.8055555555555555
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,3.0,0.611111111111111
DeepSeek-V3.1,automation_DeepSeek-V3.1,7.0,0.4682539682539682
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,10.0,0.047619047619047616
GPT-4.1,automation_GPT-4.1,6.0,0.5595238095238095
GPT-5-Mini,automation_GPT-5-Mini,5.0,0.5773809523809524
GPT-O3-Mini,automation_GPT-O3-Mini,8.0,0.3452380952380952
GPT-O4-Mini,automation_GPT-O4-Mini,4.0,0.6071428571428571
GPT-OSS-120B,automation_GPT-OSS-120B,9.0,0.33928571428571425
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,2.0,0.6388888888888888
