model_label,condition,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,gpt-4.1
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,,0.625,0.75
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,,0.25,0.25
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,0.8571428571428571,,0.75
GPT-4.1,scaffold_GPT-4.1,0.5714285714285714,0.625,
GPT-5-Mini,scaffold_GPT-5-Mini,1.0,0.75,
GPT-O3-Mini,scaffold_GPT-O3-Mini,0.14285714285714285,0.375,
GPT-O4-Mini,scaffold_GPT-O4-Mini,0.2857142857142857,0.5,
GPT-OSS-120B,scaffold_GPT-OSS-120B,0.2857142857142857,0.375,
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,0.2857142857142857,0.375,0.25
plain,plain,0.5714285714285714,0.625,0.5
