task,task_title,mode,model_id,model_label,condition,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,google/gemini-3.1-pro,gpt-4.1
counselling,Counseling session (Anthropic Econ Index),augmentation,anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,,7.0,7.0,3.0
counselling,Counseling session (Anthropic Econ Index),augmentation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,,7.0,7.0,3.0
counselling,Counseling session (Anthropic Econ Index),augmentation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,5.0,,5.0,5.0
counselling,Counseling session (Anthropic Econ Index),augmentation,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,7.0,7.0,,3.0
counselling,Counseling session (Anthropic Econ Index),augmentation,gpt-4.1,GPT-4.1,scaffold_GPT-4.1,6.0,4.0,7.0,
counselling,Counseling session (Anthropic Econ Index),augmentation,gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,4.0,1.0,3.5,
counselling,Counseling session (Anthropic Econ Index),augmentation,o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,2.0,9.0,1.0,
counselling,Counseling session (Anthropic Econ Index),augmentation,o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,8.0,2.0,9.0,
counselling,Counseling session (Anthropic Econ Index),augmentation,openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,1.0,4.0,3.5,
counselling,Counseling session (Anthropic Econ Index),augmentation,plain,plain,plain,3.0,4.0,2.0,1.0
counselling,Counseling session (Anthropic Econ Index),automation,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,,4.0,1.0,3.0
counselling,Counseling session (Anthropic Econ Index),automation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,,1.0,2.0,3.0
counselling,Counseling session (Anthropic Econ Index),automation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,4.0,,5.0,1.0
counselling,Counseling session (Anthropic Econ Index),automation,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,5.0,4.0,,3.0
counselling,Counseling session (Anthropic Econ Index),automation,gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.0,9.0,9.0,
counselling,Counseling session (Anthropic Econ Index),automation,gpt-4.1,GPT-4.1,automation_GPT-4.1,6.0,7.5,7.0,
counselling,Counseling session (Anthropic Econ Index),automation,gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,2.0,2.0,6.0,
counselling,Counseling session (Anthropic Econ Index),automation,o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,7.0,7.5,8.0,
counselling,Counseling session (Anthropic Econ Index),automation,o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,3.0,4.0,4.0,
counselling,Counseling session (Anthropic Econ Index),automation,openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,1.0,6.0,3.0,
market_trends,Market trends analysis,augmentation,anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,,9.0,9.0,3.0
market_trends,Market trends analysis,augmentation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,,5.0,5.0,3.0
market_trends,Market trends analysis,augmentation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,1.0,,3.0,5.0
market_trends,Market trends analysis,augmentation,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.0,2.5,,3.0
market_trends,Market trends analysis,augmentation,gpt-4.1,GPT-4.1,scaffold_GPT-4.1,6.0,4.0,4.0,
market_trends,Market trends analysis,augmentation,gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,8.0,7.0,7.0,
market_trends,Market trends analysis,augmentation,o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,5.0,7.0,6.0,
market_trends,Market trends analysis,augmentation,o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,2.0,1.0,1.0,
market_trends,Market trends analysis,augmentation,openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,4.0,2.5,2.0,
market_trends,Market trends analysis,augmentation,plain,plain,plain,7.0,7.0,8.0,1.0
market_trends,Market trends analysis,automation,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,,4.0,1.0,1.5
market_trends,Market trends analysis,automation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,,2.0,5.5,3.5
market_trends,Market trends analysis,automation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,2.0,,2.5,3.5
market_trends,Market trends analysis,automation,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,2.0,6.0,,1.5
market_trends,Market trends analysis,automation,gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.0,9.0,9.0,
market_trends,Market trends analysis,automation,gpt-4.1,GPT-4.1,automation_GPT-4.1,5.0,7.0,7.0,
market_trends,Market trends analysis,automation,gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,4.0,1.0,4.0,
market_trends,Market trends analysis,automation,o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,6.0,8.0,8.0,
market_trends,Market trends analysis,automation,o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,2.0,4.0,2.5,
market_trends,Market trends analysis,automation,openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,7.0,4.0,5.5,
meal_plan,Menu planning (GDPval-style),augmentation,anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,,8.0,3.5,3.0
meal_plan,Menu planning (GDPval-style),augmentation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,,4.5,3.5,3.0
meal_plan,Menu planning (GDPval-style),augmentation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,4.0,,6.0,5.0
meal_plan,Menu planning (GDPval-style),augmentation,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,7.0,8.0,,3.0
meal_plan,Menu planning (GDPval-style),augmentation,gpt-4.1,GPT-4.1,scaffold_GPT-4.1,4.0,4.5,7.0,
meal_plan,Menu planning (GDPval-style),augmentation,gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,8.0,4.5,9.0,
meal_plan,Menu planning (GDPval-style),augmentation,o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,6.0,8.0,5.0,
meal_plan,Menu planning (GDPval-style),augmentation,o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,2.0,1.0,1.5,
meal_plan,Menu planning (GDPval-style),augmentation,openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,1.0,2.0,1.5,
meal_plan,Menu planning (GDPval-style),augmentation,plain,plain,plain,4.0,4.5,8.0,1.0
meal_plan,Menu planning (GDPval-style),automation,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,,4.0,1.5,1.5
meal_plan,Menu planning (GDPval-style),automation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,,4.0,1.5,3.5
meal_plan,Menu planning (GDPval-style),automation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,4.0,,5.5,3.5
meal_plan,Menu planning (GDPval-style),automation,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,1.0,6.0,,1.5
meal_plan,Menu planning (GDPval-style),automation,gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.0,9.0,9.0,
meal_plan,Menu planning (GDPval-style),automation,gpt-4.1,GPT-4.1,automation_GPT-4.1,5.0,8.0,7.0,
meal_plan,Menu planning (GDPval-style),automation,gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,3.0,2.0,5.5,
meal_plan,Menu planning (GDPval-style),automation,o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,7.0,7.0,8.0,
meal_plan,Menu planning (GDPval-style),automation,o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,2.0,4.0,3.0,
meal_plan,Menu planning (GDPval-style),automation,openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,6.0,1.0,4.0,
operations_research,Operations research analyst memo,augmentation,anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,,6.5,8.0,3.0
operations_research,Operations research analyst memo,augmentation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,,9.0,1.5,3.0
operations_research,Operations research analyst memo,augmentation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,5.0,,5.0,5.0
operations_research,Operations research analyst memo,augmentation,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.0,1.0,,3.0
operations_research,Operations research analyst memo,augmentation,gpt-4.1,GPT-4.1,scaffold_GPT-4.1,2.0,2.0,3.0,
operations_research,Operations research analyst memo,augmentation,gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,7.0,6.5,7.0,
operations_research,Operations research analyst memo,augmentation,o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,4.0,6.5,9.0,
operations_research,Operations research analyst memo,augmentation,o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,8.0,4.0,5.0,
operations_research,Operations research analyst memo,augmentation,openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,6.0,6.5,5.0,
operations_research,Operations research analyst memo,augmentation,plain,plain,plain,1.0,3.0,1.5,1.0
operations_research,Operations research analyst memo,automation,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,,5.5,1.5,1.5
operations_research,Operations research analyst memo,automation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,,5.5,4.0,3.5
operations_research,Operations research analyst memo,automation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,2.0,,5.5,3.5
operations_research,Operations research analyst memo,automation,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,1.0,5.5,,1.5
operations_research,Operations research analyst memo,automation,gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.0,9.0,9.0,
operations_research,Operations research analyst memo,automation,gpt-4.1,GPT-4.1,automation_GPT-4.1,5.0,5.5,5.5,
operations_research,Operations research analyst memo,automation,gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,5.0,1.5,8.0,
operations_research,Operations research analyst memo,automation,o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,7.0,8.0,7.0,
operations_research,Operations research analyst memo,automation,o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,5.0,1.5,3.0,
operations_research,Operations research analyst memo,automation,openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,3.0,3.0,1.5,
tax_prep,Tax preparation discrepancy spotting,augmentation,anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,,7.0,4.0,3.0
tax_prep,Tax preparation discrepancy spotting,augmentation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,,9.0,6.5,4.5
tax_prep,Tax preparation discrepancy spotting,augmentation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,4.0,,5.0,4.5
tax_prep,Tax preparation discrepancy spotting,augmentation,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,4.0,4.0,,1.5
