model_id,model_label,condition,avg_rank,avg_win_rate,std_rank,std_win_rate,total_wins,total_games
gpt-5.4,GPT-5.4,GPT-5.4,3.5,0.8582375478927201,0.726483157256779,0.026544839962741446,74.66666666666667,87.0
gpt-4.1,GPT-4.1,GPT-4.1,6.5,0.7854406130268199,5.101742621671322,0.14463284358756232,68.33333333333333,87.0
o4-mini-2025-04-16,GPT-O4-Mini,GPT-O4-Mini,8.0,0.7471264367816092,3.919325338768283,0.10964818407091338,65.0,87.0
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,DeepSeek-V3.1,12.777777777777779,0.5938697318007663,7.456044031025606,0.23899571147510634,51.666666666666664,87.0
o3-mini-2025-01-31,GPT-O3-Mini,GPT-O3-Mini,14.111111111111112,0.5555555555555556,5.5008416864384735,0.15690111286929706,48.333333333333336,87.0
claude-opus-4-6,Claude-Opus-4.6,Claude-Opus-4.6,16.22222222222222,0.5134099616858238,2.3114048958571916,0.0578531374350248,44.666666666666664,87.0
openai/gpt-oss-120b,GPT-OSS-120B,GPT-OSS-120B,16.5,0.4942528735632184,3.844187531556931,0.1503068601220922,43.0,87.0
anthropic.claude-3-5-sonnet-20240620-v1:0,Claude-3.5-Sonnet,Claude-3.5-Sonnet,22.388888888888886,0.2796934865900383,1.5030832509409666,0.04036648947453154,24.333333333333332,87.0
gemini-3.1-pro-preview,Gemini-3.1-Pro,Gemini-3.1-Pro,26.0,0.13793103448275862,1.0,0.03448275862068966,12.0,87.0
gpt-3.5-turbo,GPT-3.5-Turbo,GPT-3.5-Turbo,29.0,0.03448275862068966,0.5773502691896255,0.019908629972056068,3.0,87.0
