mode,model_id,model_label,mean_rank,sd_rank,mean_win_rate,sd_win_rate,n_cells
augmentation,gpt-5-mini-2025-08-07,GPT-5-Mini,3.657142857142857,3.0175127212282526,0.6444727891156462,0.22984748794174542,70
augmentation,plain,plain,3.7857142857142856,2.2834810518779687,0.5957908163265306,0.14835337511771748,70
augmentation,openai/gpt-oss-120b,GPT-OSS-120B,4.985714285714286,3.139245996163831,0.5351190476190476,0.22661267396763257,70
augmentation,gpt-4.1,GPT-4.1,5.064285714285714,2.8778532515529904,0.5390306122448979,0.20042194113059716,70
augmentation,o4-mini-2025-04-16,GPT-O4-Mini,5.271428571428571,2.9386057453677035,0.5277210884353741,0.20317326969979196,70
augmentation,google/gemini-3.1-pro,Gemini-3.1-Pro,5.964285714285714,2.388561856697712,0.4695578231292516,0.1415845914372154,70
augmentation,anthropic/claude-opus-4-8,Claude-Opus-4.8,6.1,2.2386590188991597,0.45357142857142857,0.1237950899374268,70
augmentation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,6.128571428571429,2.321427775123291,0.4529761904761905,0.12588683568636488,70
augmentation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,6.521428571428571,2.7246003752787207,0.4051020408163265,0.19774790036816411,70
augmentation,o3-mini-2025-01-31,GPT-O3-Mini,7.521428571428571,2.403855168003485,0.34455782312925165,0.1939028779567605,70
automation,gpt-5-mini-2025-08-07,GPT-5-Mini,2.5,1.8766297265136729,0.7328798185941043,0.10650791434596317,70
automation,anthropic/claude-opus-4-8,Claude-Opus-4.8,3.5428571428571427,1.8212570454696604,0.6570767195767195,0.09915462381315107,70
automation,o4-mini-2025-04-16,GPT-O4-Mini,4.228571428571429,2.240415518988067,0.6135770975056689,0.1495213157275203,70
automation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,4.242857142857143,2.0899047498280963,0.6133881330309902,0.12227468842248027,70
automation,openai/gpt-oss-120b,GPT-OSS-120B,5.0285714285714285,2.6208275525187474,0.5550453514739229,0.17998877922346998,70
automation,google/gemini-3.1-pro,Gemini-3.1-Pro,5.15,2.558518026661845,0.5313093594925893,0.1680808977072389,70
automation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,5.628571428571429,2.1001823838773275,0.5174225245653817,0.1537641626603167,70
automation,gpt-4.1,GPT-4.1,7.071428571428571,1.3627702877384937,0.4297052154195011,0.09318178945396484,70
automation,o3-mini-2025-01-31,GPT-O3-Mini,7.635714285714286,1.9109172025143912,0.3359989648033126,0.16334443375940408,70
automation,gpt-3.5-turbo,GPT-3.5-Turbo,9.971428571428572,0.16780151935092938,0.013945578231292508,0.03129891935413769,70
