run_id,task,mode,item_id,model,condition,word_count,character_count,mean_win_rate,n_eligible_judges,length_adjusted_win_rate,unadjusted_rank,length_adjusted_rank
20260610_scaffold_strict_v4,counselling,augmentation,0,plain,plain,226,1437,0.3169642857142857,4,0.5076688145800832,8.0,6.0
20260610_scaffold_strict_v4,counselling,augmentation,1,GPT-4.1,scaffold_GPT-4.1,318,2078,0.9583333333333334,3,0.6781101203698061,1.0,1.0
20260610_scaffold_strict_v4,counselling,augmentation,2,GPT-5-Mini,scaffold_GPT-5-Mini,254,1753,0.6071428571428571,3,0.6368578133228866,3.0,2.0
20260610_scaffold_strict_v4,counselling,augmentation,3,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,231,1557,0.08333333333333333,3,0.2438819817075572,10.0,10.0
20260610_scaffold_strict_v4,counselling,augmentation,4,GPT-O4-Mini,scaffold_GPT-O4-Mini,260,1722,0.5595238095238094,3,0.5570489389776307,4.0,5.0
20260610_scaffold_strict_v4,counselling,augmentation,5,GPT-O3-Mini,scaffold_GPT-O3-Mini,247,1626,0.5178571428571428,3,0.586098248877556,6.0,3.0
20260610_scaffold_strict_v4,counselling,augmentation,6,GPT-OSS-120B,scaffold_GPT-OSS-120B,250,1708,0.44047619047619047,3,0.49207460904418865,7.0,7.0
20260610_scaffold_strict_v4,counselling,augmentation,7,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,292,1762,0.5416666666666666,3,0.3791175648354925,5.0,9.0
20260610_scaffold_strict_v4,counselling,augmentation,8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,205,1360,0.25,3,0.5750644587206847,9.0,4.0
20260610_scaffold_strict_v4,counselling,augmentation,9,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,342,2172,0.7857142857142857,3,0.40508935432600435,2.0,8.0
20260610_scaffold_strict_v4,counselling,automation,0,DeepSeek-V3.1,automation_DeepSeek-V3.1,737,4396,0.6646825396825397,3,0.6120985942206395,3.0,4.0
20260610_scaffold_strict_v4,counselling,automation,1,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,737,4307,0.6071428571428571,3,0.554558911680957,5.0,6.0
20260610_scaffold_strict_v4,counselling,automation,2,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,226,1437,0.0,3,0.3768746206700966,10.0,7.0
20260610_scaffold_strict_v4,counselling,automation,3,GPT-4.1,automation_GPT-4.1,599,3480,0.33134920634920634,3,0.3541719405627835,8.0,8.0
20260610_scaffold_strict_v4,counselling,automation,4,GPT-5-Mini,automation_GPT-5-Mini,697,4231,0.7043650793650794,3,0.672079339876943,2.0,3.0
