run_id,task_slug,task_title,mode,model_id,model_label,rank_value,win_rate
20260610_scaffold_strict_v4,counselling,Counseling session (Anthropic Econ Index),augmentation,gpt-4.1,GPT-4.1,1.0,0.9583333333333334
20260610_scaffold_strict_v4,counselling,Counseling session (Anthropic Econ Index),augmentation,google/gemini-3.1-pro,Gemini-3.1-Pro,2.0,0.7857142857142857
20260610_scaffold_strict_v4,counselling,Counseling session (Anthropic Econ Index),augmentation,gpt-5-mini-2025-08-07,GPT-5-Mini,3.0,0.6071428571428571
20260610_scaffold_strict_v4,counselling,Counseling session (Anthropic Econ Index),augmentation,o4-mini-2025-04-16,GPT-O4-Mini,4.0,0.5595238095238095
20260610_scaffold_strict_v4,counselling,Counseling session (Anthropic Econ Index),augmentation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,5.0,0.5416666666666666
20260610_scaffold_strict_v4,counselling,Counseling session (Anthropic Econ Index),augmentation,o3-mini-2025-01-31,GPT-O3-Mini,6.0,0.5178571428571429
20260610_scaffold_strict_v4,counselling,Counseling session (Anthropic Econ Index),augmentation,openai/gpt-oss-120b,GPT-OSS-120B,7.0,0.4404761904761904
20260610_scaffold_strict_v4,counselling,Counseling session (Anthropic Econ Index),augmentation,plain,plain,8.0,0.3169642857142857
20260610_scaffold_strict_v4,counselling,Counseling session (Anthropic Econ Index),augmentation,anthropic/claude-opus-4-8,Claude-Opus-4.8,9.0,0.25
20260610_scaffold_strict_v4,counselling,Counseling session (Anthropic Econ Index),augmentation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,10.0,0.0833333333333333
20260610_scaffold_strict_v4,counselling,Counseling session (Anthropic Econ Index),automation,openai/gpt-oss-120b,GPT-OSS-120B,1.0,0.8154761904761904
20260610_scaffold_strict_v4,counselling,Counseling session (Anthropic Econ Index),automation,gpt-5-mini-2025-08-07,GPT-5-Mini,2.0,0.7043650793650794
20260610_scaffold_strict_v4,counselling,Counseling session (Anthropic Econ Index),automation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,3.0,0.6646825396825397
20260610_scaffold_strict_v4,counselling,Counseling session (Anthropic Econ Index),automation,anthropic/claude-opus-4-8,Claude-Opus-4.8,4.0,0.611111111111111
20260610_scaffold_strict_v4,counselling,Counseling session (Anthropic Econ Index),automation,google/gemini-3.1-pro,Gemini-3.1-Pro,5.0,0.6071428571428571
20260610_scaffold_strict_v4,counselling,Counseling session (Anthropic Econ Index),automation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,6.0,0.5694444444444444
20260610_scaffold_strict_v4,counselling,Counseling session (Anthropic Econ Index),automation,o4-mini-2025-04-16,GPT-O4-Mini,7.0,0.5654761904761905
20260610_scaffold_strict_v4,counselling,Counseling session (Anthropic Econ Index),automation,gpt-4.1,GPT-4.1,8.0,0.3313492063492063
20260610_scaffold_strict_v4,counselling,Counseling session (Anthropic Econ Index),automation,o3-mini-2025-01-31,GPT-O3-Mini,9.0,0.1309523809523809
20260610_scaffold_strict_v4,counselling,Counseling session (Anthropic Econ Index),automation,gpt-3.5-turbo,GPT-3.5-Turbo,10.0,0.0
20260610_scaffold_strict_v4,market_trends,Market trends analysis,augmentation,o4-mini-2025-04-16,GPT-O4-Mini,1.0,0.8690476190476191
20260610_scaffold_strict_v4,market_trends,Market trends analysis,augmentation,gpt-4.1,GPT-4.1,2.0,0.7857142857142857
