mode,judge_a,judge_b,overlapping_comparisons,agreement_rate,cohen_kappa
all,Claude-Opus-4.8,DeepSeek-V3.1,2939,0.6560054440285812,0.3048018577119027
all,Claude-Opus-4.8,GPT-4.1,280,0.5892857142857143,0.17731221257026067
all,Claude-Opus-4.8,Gemini-3.1-Pro,2909,0.7593674802337573,0.5144670367872944
all,DeepSeek-V3.1,GPT-4.1,630,0.9158730158730158,0.8314912944738834
all,DeepSeek-V3.1,Gemini-3.1-Pro,3875,0.7003870967741935,0.38797902446941174
all,GPT-4.1,Gemini-3.1-Pro,624,0.6378205128205128,0.27456790123456776
augmentation,Claude-Opus-4.8,DeepSeek-V3.1,1469,0.6249149081007488,0.24782106479050725
augmentation,Claude-Opus-4.8,GPT-4.1,210,0.5904761904761905,0.14626075446724032
augmentation,Claude-Opus-4.8,Gemini-3.1-Pro,1463,0.7204374572795625,0.4405385113801154
augmentation,DeepSeek-V3.1,GPT-4.1,420,0.9047619047619048,0.8095454030155311
augmentation,DeepSeek-V3.1,Gemini-3.1-Pro,1948,0.6591375770020534,0.31489903082729803
augmentation,GPT-4.1,Gemini-3.1-Pro,418,0.6267942583732058,0.25276740082047994
automation,Claude-Opus-4.8,DeepSeek-V3.1,1470,0.6870748299319728,0.3265543925345337
automation,Claude-Opus-4.8,GPT-4.1,70,0.5857142857142857,0.08476104598737605
automation,Claude-Opus-4.8,Gemini-3.1-Pro,1446,0.7987551867219918,0.5687563412759417
automation,DeepSeek-V3.1,GPT-4.1,210,0.9380952380952381,0.8741355463347165
automation,DeepSeek-V3.1,Gemini-3.1-Pro,1927,0.742086144265698,0.4015613957583372
automation,GPT-4.1,Gemini-3.1-Pro,206,0.6601941747572816,0.29651673333983813
