task,mode,items_with_overlap,single_rated_items_excluded,judge_pair_decisions,agreement_rate,unanimous_item_rate,krippendorff_alpha_nominal,ratings_in_alpha
counselling,augmentation,449,1,847,0.7107438016528925,0.6503340757238307,0.42180307647899606,1097
counselling,automation,447,3,765,0.792156862745098,0.7203579418344519,0.5503697148150597,1053
market_trends,augmentation,450,0,850,0.6658823529411765,0.5888888888888889,0.3284561483669868,1100
market_trends,automation,444,6,760,0.8171052631578948,0.7432432432432432,0.6153079779864533,1046
meal_plan,augmentation,450,0,850,0.7058823529411765,0.6288888888888889,0.4118620072294902,1100
meal_plan,automation,450,0,770,0.7571428571428571,0.7022222222222222,0.4706283770251054,1060
operations_research,augmentation,444,6,838,0.6181384248210023,0.5382882882882883,0.2310859903594824,1085
operations_research,automation,444,6,760,0.6921052631578948,0.6126126126126126,0.3052219240297276,1046
tax_prep,augmentation,450,0,848,0.6745283018867925,0.6022222222222222,0.3413992295340148,1099
tax_prep,automation,448,2,766,0.7101827676240209,0.6361607142857143,0.3634437335855367,1055
travel_planning,augmentation,449,1,847,0.6824085005903188,0.6102449888641426,0.3615629855636714,1097
travel_planning,automation,446,4,752,0.7087765957446809,0.6659192825112108,0.3913803951204753,1045
tutoring,augmentation,450,0,848,0.6910377358490566,0.6222222222222222,0.3765044784342235,1099
tutoring,automation,444,6,756,0.7354497354497355,0.6711711711711712,0.42382979177334024,1044
