task,task_label,mode,mean_within_run_rho,median_within_run_rho,se_across_runs,two_sided_p,n_runs
counselling,Counseling,augmentation,0.591055536013831,0.7151515151515151,0.11773493693007676,0.0007188719785708059,10
counselling,Counseling,automation,0.6559734334590523,0.6424242424242423,0.02985515949190458,3.95592558920657e-09,10
market_trends,Market Trends,augmentation,0.3427528238490033,0.46428209180317404,0.12063792225231763,0.019366162282660797,10
market_trends,Market Trends,automation,0.423951847969291,0.4666666666666666,0.037475986642946366,1.2705575485103642e-06,10
meal_plan,Menu Planning,augmentation,-0.1528849089471725,-0.3186430525866828,0.160731361558616,0.36635504130557967,10
meal_plan,Menu Planning,automation,0.36246298611425104,0.3939393939393939,0.057894361914527806,0.00014772427078415246,10
operations_research,Operations Research,augmentation,0.38774071693262485,0.4437401661010092,0.08071798981768746,0.0009687838981325533,10
operations_research,Operations Research,automation,0.5028149246339034,0.5272727272727272,0.0891751917843474,0.00031822699276747897,10
tax_prep,Tax Prep,augmentation,0.46317478674212237,0.512969883426163,0.07457020995270043,0.00015673451697212403,10
tax_prep,Tax Prep,automation,0.4277007528004416,0.49090909090909085,0.055056566164660495,2.7968901156150346e-05,10
travel_planning,Travel Agent,augmentation,0.1546579957402415,0.10638347014401131,0.11119423192162359,0.1976863537903177,10
travel_planning,Travel Agent,automation,0.6424242424242423,0.6545454545454544,0.06970721634530502,7.029214533435321e-06,10
tutoring,Tutoring,augmentation,0.1000914529685675,0.16363636363636364,0.10384503090291644,0.36030071915462464,10
tutoring,Tutoring,automation,0.6244231073795099,0.5818181818181818,0.05977827209920117,2.486313342705494e-06,10
