task_slug,task_title,mode,model_id,model_label,mean_rank,sd_rank,mean_win_rate,sd_win_rate,n_runs
counselling,Counseling session (Anthropic Econ Index),augmentation,anthropic/claude-opus-4-8,Claude-Opus-4.8,6.25,2.0446406910642163,0.4375,0.11326046132152841,10
counselling,Counseling session (Anthropic Econ Index),augmentation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,6.05,1.7709068612185992,0.4333333333333333,0.14855268841245486,10
counselling,Counseling session (Anthropic Econ Index),augmentation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,8.2,2.7406406388125952,0.22440476190476186,0.19283938287811778,10
counselling,Counseling session (Anthropic Econ Index),augmentation,google/gemini-3.1-pro,Gemini-3.1-Pro,5.0,2.8674417556808756,0.5464285714285715,0.222996807635606,10
counselling,Counseling session (Anthropic Econ Index),augmentation,gpt-4.1,GPT-4.1,3.8,2.973961069759395,0.6833333333333333,0.2521918279108262,10
counselling,Counseling session (Anthropic Econ Index),augmentation,gpt-5-mini-2025-08-07,GPT-5-Mini,4.2,2.9363620727393656,0.6321428571428571,0.23656585527093837,10
counselling,Counseling session (Anthropic Econ Index),augmentation,o3-mini-2025-01-31,GPT-O3-Mini,6.7,2.8693785622209793,0.41547619047619044,0.23921364309879073,10
counselling,Counseling session (Anthropic Econ Index),augmentation,o4-mini-2025-04-16,GPT-O4-Mini,5.7,3.5605867181937554,0.49226190476190473,0.29349054507835604,10
counselling,Counseling session (Anthropic Econ Index),augmentation,openai/gpt-oss-120b,GPT-OSS-120B,4.4,2.913569784454954,0.6226190476190476,0.25806163021391254,10
counselling,Counseling session (Anthropic Econ Index),augmentation,plain,plain,4.7,1.888562063228706,0.509375,0.12082838513208773,10
counselling,Counseling session (Anthropic Econ Index),automation,anthropic/claude-opus-4-8,Claude-Opus-4.8,3.1,1.5951314818673865,0.7125,0.06416673347225423,10
counselling,Counseling session (Anthropic Econ Index),automation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,5.0,1.3333333333333333,0.5625,0.09913246808038821,10
counselling,Counseling session (Anthropic Econ Index),automation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,5.3,1.4181364924121767,0.5398809523809524,0.09583080008044448,10
counselling,Counseling session (Anthropic Econ Index),automation,google/gemini-3.1-pro,Gemini-3.1-Pro,7.2,1.4757295747452437,0.37976190476190474,0.13759220855927498,10
counselling,Counseling session (Anthropic Econ Index),automation,gpt-3.5-turbo,GPT-3.5-Turbo,10.0,0.0,0.019047619047619042,0.024590370452110575,10
counselling,Counseling session (Anthropic Econ Index),automation,gpt-4.1,GPT-4.1,7.4,0.8432740427115677,0.3765873015873015,0.07944110115646714,10
counselling,Counseling session (Anthropic Econ Index),automation,gpt-5-mini-2025-08-07,GPT-5-Mini,2.4,1.2649110640673515,0.7472222222222222,0.07815546458176122,10
counselling,Counseling session (Anthropic Econ Index),automation,o3-mini-2025-01-31,GPT-O3-Mini,8.8,0.632455532033676,0.219047619047619,0.0735894483163323,10
counselling,Counseling session (Anthropic Econ Index),automation,o4-mini-2025-04-16,GPT-O4-Mini,3.6,1.6465452046971292,0.7023809523809523,0.07771093661732593,10
counselling,Counseling session (Anthropic Econ Index),automation,openai/gpt-oss-120b,GPT-OSS-120B,2.2,1.5491933384829668,0.7410714285714286,0.09089164223052663,10
market_trends,Market trends analysis,augmentation,anthropic/claude-opus-4-8,Claude-Opus-4.8,8.15,2.082333093218064,0.3416666666666667,0.12391504457330811,10
market_trends,Market trends analysis,augmentation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,6.35,1.8265024257063311,0.4583333333333333,0.09001028747788695,10
