mode,model,mean_unadjusted_rank,mean_length_adjusted_rank,mean_word_count,n_slices,rank_shift_after_adjustment
augmentation,Claude-Opus-4.8,6.1,5.9714285714285715,294.9142857142857,70,-0.12857142857142811
augmentation,Claude-Sonnet-4.6,6.128571428571429,6.242857142857143,296.98571428571427,70,0.11428571428571388
augmentation,DeepSeek-V3.1,6.521428571428571,6.4714285714285715,299.87142857142857,70,-0.04999999999999982
augmentation,GPT-4.1,5.064285714285714,4.985714285714286,312.85714285714283,70,-0.07857142857142829
augmentation,GPT-5-Mini,3.657142857142857,3.8857142857142857,307.42857142857144,70,0.22857142857142865
augmentation,GPT-O3-Mini,7.521428571428571,7.442857142857143,300.74285714285713,70,-0.07857142857142829
augmentation,GPT-O4-Mini,5.271428571428571,5.128571428571429,299.12857142857143,70,-0.14285714285714235
augmentation,GPT-OSS-120B,4.985714285714286,4.914285714285715,299.07142857142856,70,-0.07142857142857117
augmentation,Gemini-3.1-Pro,5.964285714285714,6.414285714285715,301.9428571428571,70,0.4500000000000002
augmentation,plain,3.7857142857142856,3.5428571428571427,283.87142857142857,70,-0.24285714285714288
automation,Claude-Opus-4.8,3.5428571428571427,2.7142857142857144,643.5714285714286,70,-0.8285714285714283
automation,Claude-Sonnet-4.6,4.242857142857143,7.4,1969.5,70,3.1571428571428575
automation,DeepSeek-V3.1,5.628571428571429,5.5285714285714285,734.5142857142857,70,-0.10000000000000053
automation,GPT-3.5-Turbo,9.971428571428572,8.628571428571428,276.34285714285716,70,-1.3428571428571434
automation,GPT-4.1,7.071428571428571,5.814285714285714,598.7571428571429,70,-1.2571428571428571
automation,GPT-5-Mini,2.5,3.1714285714285713,1084.4857142857143,70,0.6714285714285713
automation,GPT-O3-Mini,7.635714285714286,8.157142857142857,853.2571428571429,70,0.5214285714285705
automation,GPT-O4-Mini,4.228571428571429,2.2142857142857144,533.4285714285714,70,-2.0142857142857142
automation,GPT-OSS-120B,5.0285714285714285,6.857142857142857,1181.942857142857,70,1.8285714285714283
automation,Gemini-3.1-Pro,5.15,4.514285714285714,653.5428571428571,70,-0.6357142857142861
