task,mode,model,pairwise_mean_rank,pairwise_se,n_runs_pairwise,rubric_mean_rank,rubric_se,mean_standardized_score,mean_raw_rubric_score,raw_rubric_score_se,n_runs_rubric
counselling,augmentation,Claude-Opus-4.8,6.25,0.6465721580423608,10,6.2,0.6463573143221771,-0.16565483587942195,6.623484848484848,0.109144090105038,10
counselling,augmentation,Claude-Sonnet-4.6,6.05,0.560009920547048,10,5.5,0.5627314338711377,-0.1627831030375735,6.675919913419913,0.1165110143394076,10
counselling,augmentation,DeepSeek-V3.1,8.2,0.8666666666666667,10,8.9,0.7951240294584375,-1.119748632731254,5.988095238095238,0.17162843906512545,10
counselling,augmentation,GPT-3.5-Turbo,4.7,0.5972157622389639,10,4.6,0.49888765156985887,0.12900000797484806,6.758279220779221,0.08652316936643373,10
counselling,augmentation,GPT-4.1,3.8,0.9404490653110589,10,3.8,0.7571877794400365,0.6380810232906822,7.433441558441558,0.18479655104468817,10
counselling,augmentation,GPT-5-Mini,4.2,0.9285592184789413,10,4.6,0.9451631252505216,0.3029064284962164,7.194805194805196,0.179749799706465,10
counselling,augmentation,GPT-O3-Mini,6.7,0.9073771725877465,10,6.3,1.0440306508910548,-0.14459961850665104,6.907900432900433,0.17335942570561216,10
counselling,augmentation,GPT-O4-Mini,5.7,1.125956383603636,10,5.5,0.991631652042901,0.019684809684263827,7.003463203463204,0.21840754915064575,10
counselling,augmentation,GPT-OSS-120B,4.4,0.9213516640723501,10,4.5,1.0354816378006044,0.3431750515739312,7.264880952380953,0.1841228501881941,10
counselling,augmentation,Gemini-3.1-Pro,5.0,0.9067647005823628,10,5.1,0.9480975102218594,0.11693886647667476,6.74469696969697,0.14823624323490997,10
counselling,automation,Claude-Opus-4.8,3.1,0.5044248650140518,10,4.0,0.6831300510639733,0.5378878312269552,7.961544011544012,0.026506830864556696,10
counselling,automation,Claude-Sonnet-4.6,5.0,0.42163702135578385,10,5.3,0.7156970184527962,0.2509029850598462,7.7942279942279935,0.07035533749964053,10
counselling,automation,DeepSeek-V3.1,5.3,0.44845413490245695,10,5.2,0.6798692684790381,0.16689538075802196,7.819805194805194,0.0686358255234984,10
counselling,automation,GPT-3.5-Turbo,10.0,0.0,10,10.0,0.0,-2.008843065649957,5.94527417027417,0.0898936214297566,10
counselling,automation,GPT-4.1,7.4,0.26666666666666666,10,6.5,0.4281744192888376,-0.07891491244831625,7.973647186147187,0.08288242678612057,10
counselling,automation,GPT-5-Mini,2.4,0.39999999999999997,10,2.8,0.3590109871423003,0.7485932211913362,8.775306637806638,0.03146594400038619,10
counselling,automation,GPT-O3-Mini,8.8,0.19999999999999998,10,8.0,0.3651483716701107,-0.4839372835040293,7.54323593073593,0.0699220588668386,10
counselling,automation,GPT-O4-Mini,3.6,0.5206833117271102,10,3.3,0.3958114029012639,0.6765139927621158,8.713149350649351,0.034637525305786926,10
counselling,automation,GPT-OSS-120B,2.2,0.4898979485566356,10,2.2,0.41633319989322654,0.7291176467198539,8.779130591630592,0.06454336710483659,10
counselling,automation,Gemini-3.1-Pro,7.2,0.4666666666666666,10,7.7,0.7310570733153768,-0.5382157961158276,6.337139249639249,0.2656663803633426,10
market_trends,augmentation,Claude-Opus-4.8,8.15,0.6584915421712805,10,7.8,0.7859884081701064,-0.5208320008654381,5.8179653679653685,0.2112368215677326,10
market_trends,augmentation,Claude-Sonnet-4.6,6.35,0.5775907817054484,10,5.7,0.47258156262526085,-0.07180357479912391,6.116287878787879,0.19658247518287486,10
market_trends,augmentation,DeepSeek-V3.1,6.15,1.0647117502456291,10,6.8,0.8537498983243799,-0.3799911811827412,5.968181818181818,0.17849067511034108,10
market_trends,augmentation,GPT-3.5-Turbo,6.3,0.5972157622389639,10,6.4,0.7180219742846006,-0.1070840644803734,5.9148944805194805,0.1603722913605435,10
market_trends,augmentation,GPT-4.1,4.0,0.7453559924999299,10,4.1,0.7520342781785652,0.36870411586683294,6.425541125541125,0.2299330402686617,10
market_trends,augmentation,GPT-5-Mini,3.35,0.882074574826616,10,3.4,0.8459051693633013,0.5788707777668656,6.420761183261183,0.19971711102171272,10
market_trends,augmentation,GPT-O3-Mini,6.9,0.6741249472052228,10,7.8,0.6798692684790381,-0.5514188466063045,5.884794372294372,0.23060727250038293,10
market_trends,augmentation,GPT-O4-Mini,3.05,0.6166666666666666,10,2.7,0.5972157622389639,0.5872097265423882,6.505357142857143,0.2662347127129592,10
market_trends,augmentation,GPT-OSS-120B,3.7,1.085766498326822,10,3.5,1.002773930432755,0.48039900004603775,6.491522366522366,0.20991207630187805,10
market_trends,augmentation,Gemini-3.1-Pro,7.05,0.5398044913567216,10,6.8,0.5537749241945383,-0.34835926412802254,5.947835497835498,0.08495143257414553,10
market_trends,automation,Claude-Opus-4.8,2.05,0.36855573979159967,10,1.9,0.4818944098266986,0.8256196834462374,8.045436507936508,0.030093303753731676,10
market_trends,automation,Claude-Sonnet-4.6,5.45,0.1892969448600091,10,6.4,0.22110831935702666,0.11827270789168191,7.715277777777779,0.043774786974106895,10
market_trends,automation,DeepSeek-V3.1,3.4,0.39999999999999997,10,4.2,0.6463573143221772,0.3583861726021448,7.867994883903975,0.054345629667457644,10
market_trends,automation,GPT-3.5-Turbo,10.0,0.0,10,10.0,0.0,-2.1281151914426575,5.254161747343566,0.18660687127050885,10
market_trends,automation,GPT-4.1,7.0,0.3333333333333333,10,6.6,0.3711842908553348,0.07274604764272503,7.811796536796537,0.055151273990032425,10
market_trends,automation,GPT-5-Mini,2.8,0.5537749241945383,10,2.5,0.30731814857642953,0.6928099104459203,8.479996392496393,0.0357356920193435,10
