task,mode,spearman,winner_overlap,mean_absolute_rank_gap
counselling,augmentation,0.9756278933105668,True,0.26000000000000006
counselling,automation,0.9636363636363635,True,0.4200000000000001
market_trends,augmentation,0.9085534756454651,True,0.3599999999999999
market_trends,automation,0.9393939393939393,True,0.41
meal_plan,augmentation,0.7841981513472833,True,0.5000000000000002
meal_plan,automation,0.9240164263936983,True,0.77
operations_research,augmentation,0.9393939393939393,True,0.48999999999999994
operations_research,automation,0.8666666666666665,False,0.76
tax_prep,augmentation,0.8909090909090909,True,0.36999999999999983
tax_prep,automation,0.9663653750041353,True,0.61
travel_planning,augmentation,0.8930039428247147,True,0.31000000000000005
travel_planning,automation,0.9848069807617046,True,0.4599999999999998
tutoring,augmentation,0.969423493279465,True,0.3
tutoring,automation,0.9451219512195123,True,0.45999999999999996
