model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,2.0,0.6875
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,7.0,0.375
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,4.0,0.6071428571428572
GPT-4.1,scaffold_GPT-4.1,3.0,0.6785714285714286
GPT-5-Mini,scaffold_GPT-5-Mini,8.0,0.3214285714285714
GPT-O3-Mini,scaffold_GPT-O3-Mini,5.0,0.5982142857142857
GPT-O4-Mini,scaffold_GPT-O4-Mini,1.0,0.875
GPT-OSS-120B,scaffold_GPT-OSS-120B,9.0,0.3125
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,6.0,0.39285714285714285
plain,plain,10.0,0.30357142857142855
