model_label,condition,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,gpt-4.1
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,,7.0,2.5
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,,4.0,4.5
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,1.0,,1.0
GPT-4.1,scaffold_GPT-4.1,4.0,4.0,
GPT-5-Mini,scaffold_GPT-5-Mini,7.0,7.0,
GPT-O3-Mini,scaffold_GPT-O3-Mini,3.0,1.0,
GPT-O4-Mini,scaffold_GPT-O4-Mini,2.0,2.0,
GPT-OSS-120B,scaffold_GPT-OSS-120B,5.0,4.0,
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,6.0,7.0,4.5
plain,plain,8.0,9.0,2.5
