model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,automation_Claude-Opus-4.8,6.0,0.6527777777777778
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,2.0,0.6944444444444445
DeepSeek-V3.1,automation_DeepSeek-V3.1,3.0,0.6904761904761904
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,10.0,0.0
GPT-4.1,automation_GPT-4.1,8.0,0.2619047619047619
GPT-5-Mini,automation_GPT-5-Mini,4.0,0.6607142857142857
GPT-O3-Mini,automation_GPT-O3-Mini,9.0,0.1726190476190476
GPT-O4-Mini,automation_GPT-O4-Mini,5.0,0.6547619047619048
GPT-OSS-120B,automation_GPT-OSS-120B,1.0,0.75
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,7.0,0.46230158730158727
