scope,judge_a,judge_b,n_pairs,mean_abs_gap,within_one_share,method,correlation
all,Claude-Opus-4.8,DeepSeek-V3.1,98,2.010204081632653,0.3979591836734694,spearman,0.49344410141779527
all,Claude-Opus-4.8,DeepSeek-V3.1,98,2.010204081632653,0.3979591836734694,pearson,0.5155564006624267
all,Claude-Opus-4.8,google/gemini-3.1-pro,98,1.7908163265306123,0.4489795918367347,spearman,0.6141210840414945
all,Claude-Opus-4.8,google/gemini-3.1-pro,98,1.7908163265306123,0.4489795918367347,pearson,0.6149944740191449
all,Claude-Opus-4.8,GPT-4.1,35,2.5285714285714285,0.22857142857142856,spearman,0.2013837553202266
all,Claude-Opus-4.8,GPT-4.1,35,2.5285714285714285,0.22857142857142856,pearson,0.22146468976282754
all,DeepSeek-V3.1,google/gemini-3.1-pro,112,2.2455357142857144,0.39285714285714285,spearman,0.3136014552137567
all,DeepSeek-V3.1,google/gemini-3.1-pro,112,2.2455357142857144,0.39285714285714285,pearson,0.3331556935023472
all,DeepSeek-V3.1,GPT-4.1,49,3.3877551020408165,0.061224489795918366,spearman,0.4051373012859748
all,DeepSeek-V3.1,GPT-4.1,49,3.3877551020408165,0.061224489795918366,pearson,0.4155785129221292
all,google/gemini-3.1-pro,GPT-4.1,49,2.142857142857143,0.42857142857142855,spearman,0.363194163593385
all,google/gemini-3.1-pro,GPT-4.1,49,2.142857142857143,0.42857142857142855,pearson,0.42781527080829784
augmentation,Claude-Opus-4.8,DeepSeek-V3.1,49,2.122448979591837,0.40816326530612246,spearman,0.3871969551914818
augmentation,Claude-Opus-4.8,DeepSeek-V3.1,49,2.122448979591837,0.40816326530612246,pearson,0.4086757604777876
augmentation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.7959183673469388,0.46938775510204084,spearman,0.588380904197961
augmentation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.7959183673469388,0.46938775510204084,pearson,0.5912834337331333
augmentation,Claude-Opus-4.8,GPT-4.1,21,2.5952380952380953,0.19047619047619047,spearman,0.3414512274193723
augmentation,Claude-Opus-4.8,GPT-4.1,21,2.5952380952380953,0.19047619047619047,pearson,0.34536004431523937
augmentation,DeepSeek-V3.1,google/gemini-3.1-pro,56,2.5625,0.35714285714285715,spearman,0.1264779043772189
augmentation,DeepSeek-V3.1,google/gemini-3.1-pro,56,2.5625,0.35714285714285715,pearson,0.14217327825775264
augmentation,DeepSeek-V3.1,GPT-4.1,28,3.5,0.03571428571428571,spearman,0.48204882421118866
augmentation,DeepSeek-V3.1,GPT-4.1,28,3.5,0.03571428571428571,pearson,0.442645804712912
augmentation,google/gemini-3.1-pro,GPT-4.1,28,2.5535714285714284,0.32142857142857145,spearman,0.4047966566254864
augmentation,google/gemini-3.1-pro,GPT-4.1,28,2.5535714285714284,0.32142857142857145,pearson,0.4059306458760943
automation,Claude-Opus-4.8,DeepSeek-V3.1,49,1.8979591836734695,0.3877551020408163,spearman,0.6052598880302104
automation,Claude-Opus-4.8,DeepSeek-V3.1,49,1.8979591836734695,0.3877551020408163,pearson,0.6073826813394742
automation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.7857142857142858,0.42857142857142855,spearman,0.6664264370901996
automation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.7857142857142858,0.42857142857142855,pearson,0.6550255823246468
automation,Claude-Opus-4.8,GPT-4.1,14,2.4285714285714284,0.2857142857142857,spearman,0.05969378875804076
automation,Claude-Opus-4.8,GPT-4.1,14,2.4285714285714284,0.2857142857142857,pearson,-0.02539092633995743
automation,DeepSeek-V3.1,google/gemini-3.1-pro,56,1.9285714285714286,0.42857142857142855,spearman,0.4677875189543576
automation,DeepSeek-V3.1,google/gemini-3.1-pro,56,1.9285714285714286,0.42857142857142855,pearson,0.507539813115036
automation,DeepSeek-V3.1,GPT-4.1,21,3.238095238095238,0.09523809523809523,spearman,0.32983011943489793
automation,DeepSeek-V3.1,GPT-4.1,21,3.238095238095238,0.09523809523809523,pearson,0.3458994280750251
automation,google/gemini-3.1-pro,GPT-4.1,21,1.5952380952380953,0.5714285714285714,spearman,0.40643302794651215
automation,google/gemini-3.1-pro,GPT-4.1,21,1.5952380952380953,0.5714285714285714,pearson,0.38650717380816374
