scope,judge_a,judge_b,n_pairs,mean_abs_gap,within_one_share,method,correlation
all,Claude-Opus-4.8,DeepSeek-V3.1,98,2.260204081632653,0.35714285714285715,spearman,0.3772310629380351
all,Claude-Opus-4.8,DeepSeek-V3.1,98,2.260204081632653,0.35714285714285715,pearson,0.3884768622918957
all,Claude-Opus-4.8,google/gemini-3.1-pro,98,1.7295918367346939,0.5306122448979592,spearman,0.6254713532218121
all,Claude-Opus-4.8,google/gemini-3.1-pro,98,1.7295918367346939,0.5306122448979592,pearson,0.6289114494287419
all,Claude-Opus-4.8,GPT-4.1,35,2.085714285714286,0.4,spearman,0.2617231749091227
all,Claude-Opus-4.8,GPT-4.1,35,2.085714285714286,0.4,pearson,0.2552734267318004
all,DeepSeek-V3.1,google/gemini-3.1-pro,112,2.174107142857143,0.4375,spearman,0.3735849798738673
all,DeepSeek-V3.1,google/gemini-3.1-pro,112,2.174107142857143,0.4375,pearson,0.3881399741078273
all,DeepSeek-V3.1,GPT-4.1,49,3.520408163265306,0.08163265306122448,spearman,0.45494699856822785
all,DeepSeek-V3.1,GPT-4.1,49,3.520408163265306,0.08163265306122448,pearson,0.5119220013229945
all,google/gemini-3.1-pro,GPT-4.1,49,2.2551020408163267,0.4489795918367347,spearman,0.20419725877513742
all,google/gemini-3.1-pro,GPT-4.1,49,2.2551020408163267,0.4489795918367347,pearson,0.251790206610032
augmentation,Claude-Opus-4.8,DeepSeek-V3.1,49,2.5816326530612246,0.2653061224489796,spearman,0.18774659520373865
augmentation,Claude-Opus-4.8,DeepSeek-V3.1,49,2.5816326530612246,0.2653061224489796,pearson,0.1876425705181155
augmentation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.7346938775510203,0.5510204081632653,spearman,0.5928869284001793
augmentation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.7346938775510203,0.5510204081632653,pearson,0.6101111940123988
augmentation,Claude-Opus-4.8,GPT-4.1,21,1.880952380952381,0.42857142857142855,spearman,0.30941351620279184
augmentation,Claude-Opus-4.8,GPT-4.1,21,1.880952380952381,0.42857142857142855,pearson,0.3301734427648372
augmentation,DeepSeek-V3.1,google/gemini-3.1-pro,56,2.455357142857143,0.39285714285714285,spearman,0.247935258916548
augmentation,DeepSeek-V3.1,google/gemini-3.1-pro,56,2.455357142857143,0.39285714285714285,pearson,0.2480211429757859
augmentation,DeepSeek-V3.1,GPT-4.1,28,3.6964285714285716,0.03571428571428571,spearman,0.5341375752390183
augmentation,DeepSeek-V3.1,GPT-4.1,28,3.6964285714285716,0.03571428571428571,pearson,0.6315216490733905
augmentation,google/gemini-3.1-pro,GPT-4.1,28,2.875,0.32142857142857145,spearman,0.1384524322755293
augmentation,google/gemini-3.1-pro,GPT-4.1,28,2.875,0.32142857142857145,pearson,0.13788108275061736
automation,Claude-Opus-4.8,DeepSeek-V3.1,49,1.9387755102040816,0.4489795918367347,spearman,0.571610301869596
automation,Claude-Opus-4.8,DeepSeek-V3.1,49,1.9387755102040816,0.4489795918367347,pearson,0.5799629243741038
automation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.7244897959183674,0.5102040816326531,spearman,0.6880288312787506
automation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.7244897959183674,0.5102040816326531,pearson,0.6867816907256963
automation,Claude-Opus-4.8,GPT-4.1,14,2.392857142857143,0.35714285714285715,spearman,0.1701925886793527
automation,Claude-Opus-4.8,GPT-4.1,14,2.392857142857143,0.35714285714285715,pearson,0.20449157187493602
automation,DeepSeek-V3.1,google/gemini-3.1-pro,56,1.8928571428571428,0.48214285714285715,spearman,0.5030389491746955
automation,DeepSeek-V3.1,google/gemini-3.1-pro,56,1.8928571428571428,0.48214285714285715,pearson,0.5157739174777681
automation,DeepSeek-V3.1,GPT-4.1,21,3.2857142857142856,0.14285714285714285,spearman,0.2722705899124512
automation,DeepSeek-V3.1,GPT-4.1,21,3.2857142857142856,0.14285714285714285,pearson,0.28995692075409707
automation,google/gemini-3.1-pro,GPT-4.1,21,1.4285714285714286,0.6190476190476191,spearman,0.5060188497581397
automation,google/gemini-3.1-pro,GPT-4.1,21,1.4285714285714286,0.6190476190476191,pearson,0.3783503709854938
