scope,judge_a,judge_b,n_pairs,mean_abs_gap,within_one_share,method,correlation
all,Claude-Opus-4.8,DeepSeek-V3.1,98,1.760204081632653,0.45918367346938777,spearman,0.5519278403222974
all,Claude-Opus-4.8,DeepSeek-V3.1,98,1.760204081632653,0.45918367346938777,pearson,0.560004471612674
all,Claude-Opus-4.8,google/gemini-3.1-pro,98,1.6224489795918366,0.5306122448979592,spearman,0.6279303744925795
all,Claude-Opus-4.8,google/gemini-3.1-pro,98,1.6224489795918366,0.5306122448979592,pearson,0.6204704339909927
all,Claude-Opus-4.8,GPT-4.1,35,1.6428571428571428,0.45714285714285713,spearman,0.27736240263550666
all,Claude-Opus-4.8,GPT-4.1,35,1.6428571428571428,0.45714285714285713,pearson,0.2767970093242359
all,DeepSeek-V3.1,google/gemini-3.1-pro,112,2.080357142857143,0.44642857142857145,spearman,0.36140596180894
all,DeepSeek-V3.1,google/gemini-3.1-pro,112,2.080357142857143,0.44642857142857145,pearson,0.36557862056837465
all,DeepSeek-V3.1,GPT-4.1,49,3.0,0.2653061224489796,spearman,-0.12163797565557669
all,DeepSeek-V3.1,GPT-4.1,49,3.0,0.2653061224489796,pearson,-0.13384928943518415
all,google/gemini-3.1-pro,GPT-4.1,49,2.36734693877551,0.2857142857142857,spearman,-0.017286886791240783
all,google/gemini-3.1-pro,GPT-4.1,49,2.36734693877551,0.2857142857142857,pearson,-0.0227361867627672
augmentation,Claude-Opus-4.8,DeepSeek-V3.1,49,1.9285714285714286,0.42857142857142855,spearman,0.4473963898044001
augmentation,Claude-Opus-4.8,DeepSeek-V3.1,49,1.9285714285714286,0.42857142857142855,pearson,0.45344671052704666
augmentation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.8265306122448979,0.46938775510204084,spearman,0.5661907682626087
augmentation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.8265306122448979,0.46938775510204084,pearson,0.553617030456419
augmentation,Claude-Opus-4.8,GPT-4.1,21,1.880952380952381,0.42857142857142855,spearman,0.1594669197878406
augmentation,Claude-Opus-4.8,GPT-4.1,21,1.880952380952381,0.42857142857142855,pearson,0.14797908710009702
augmentation,DeepSeek-V3.1,google/gemini-3.1-pro,56,2.5625,0.3392857142857143,spearman,0.10525152480809928
augmentation,DeepSeek-V3.1,google/gemini-3.1-pro,56,2.5625,0.3392857142857143,pearson,0.11486493912287382
augmentation,DeepSeek-V3.1,GPT-4.1,28,3.3035714285714284,0.2857142857142857,spearman,-0.12401318473277316
augmentation,DeepSeek-V3.1,GPT-4.1,28,3.3035714285714284,0.2857142857142857,pearson,-0.14286458081527967
augmentation,google/gemini-3.1-pro,GPT-4.1,28,3.125,0.14285714285714285,spearman,-0.11620062018872551
augmentation,google/gemini-3.1-pro,GPT-4.1,28,3.125,0.14285714285714285,pearson,-0.15119015261882388
automation,Claude-Opus-4.8,DeepSeek-V3.1,49,1.5918367346938775,0.4897959183673469,spearman,0.6809581854732825
automation,Claude-Opus-4.8,DeepSeek-V3.1,49,1.5918367346938775,0.4897959183673469,pearson,0.6677137541475597
automation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.4183673469387754,0.5918367346938775,spearman,0.7244991133053527
automation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.4183673469387754,0.5918367346938775,pearson,0.698424967838339
automation,Claude-Opus-4.8,GPT-4.1,14,1.2857142857142858,0.5,spearman,0.35714450147231996
automation,Claude-Opus-4.8,GPT-4.1,14,1.2857142857142858,0.5,pearson,0.3780570909314214
automation,DeepSeek-V3.1,google/gemini-3.1-pro,56,1.5982142857142858,0.5535714285714286,spearman,0.5774181932967067
automation,DeepSeek-V3.1,google/gemini-3.1-pro,56,1.5982142857142858,0.5535714285714286,pearson,0.5956569416766492
automation,DeepSeek-V3.1,GPT-4.1,21,2.5952380952380953,0.23809523809523808,spearman,-0.19129495665794635
automation,DeepSeek-V3.1,GPT-4.1,21,2.5952380952380953,0.23809523809523808,pearson,-0.25450951466313787
automation,google/gemini-3.1-pro,GPT-4.1,21,1.3571428571428572,0.47619047619047616,spearman,0.346636994098189
automation,google/gemini-3.1-pro,GPT-4.1,21,1.3571428571428572,0.47619047619047616,pearson,0.29657207768594424
