model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank,task_slug,task_title,mode,score,rank_value,source,judge_model
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,1.1666666666666667,0.2886751345948129,0.9166666666666666,0.1443375672974064,4,1.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.9166666666666666,1.0,panel_aggregate,aggregate
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,2.8333333333333335,1.4433756729740643,0.6607142857142857,0.3558010508066299,4,2.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.6607142857142857,2.0,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,4.333333333333333,3.685557397915997,0.5833333333333334,0.2886751345948128,4,3.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.5833333333333334,3.0,panel_aggregate,aggregate
plain,plain,plain,3.875,1.6520189667999174,0.5803571428571428,0.1180013547714226,4,4.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.5803571428571428,4.0,panel_aggregate,aggregate
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,3.8333333333333335,2.254624876411447,0.5654761904761905,0.187570848292723,4,5.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.5654761904761905,5.0,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,5.0,1.7320508075688772,0.5238095238095238,0.1316270499255712,4,6.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.5238095238095238,6.0,panel_aggregate,aggregate
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,5.0,2.0,0.4166666666666667,0.1443375672974064,4,7.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.4166666666666667,7.0,panel_aggregate,aggregate
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,5.166666666666667,0.7637626158259734,0.3452380952380952,0.135212103471435,4,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.3452380952380952,8.0,panel_aggregate,aggregate
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,6.333333333333333,2.886751345948129,0.25,0.3307189138830738,4,9.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.25,9.0,panel_aggregate,aggregate
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,8.166666666666666,1.0408329997330663,0.1309523809523809,0.125424449438723,4,10.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.1309523809523809,10.0,panel_aggregate,aggregate
openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,1.8333333333333333,0.2886751345948128,0.8273809523809524,0.0676060517357175,4,1.0,counselling,Counseling session (Anthropic Econ Index),automation,0.8273809523809524,1.0,panel_aggregate,aggregate
gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,3.0,3.4641016151377544,0.75,0.3307189138830738,4,2.0,counselling,Counseling session (Anthropic Econ Index),automation,0.75,2.0,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,2.8333333333333335,2.3094010767585034,0.6805555555555555,0.1878854063676206,4,3.0,counselling,Counseling session (Anthropic Econ Index),automation,0.6805555555555555,3.0,panel_aggregate,aggregate
google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,3.3333333333333335,2.0207259421636903,0.626984126984127,0.1125194196726811,4,4.0,counselling,Counseling session (Anthropic Econ Index),automation,0.626984126984127,4.0,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,3.6666666666666665,0.2886751345948128,0.6071428571428571,0.0309294787065871,4,5.0,counselling,Counseling session (Anthropic Econ Index),automation,0.6071428571428571,5.0,panel_aggregate,aggregate
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,4.166666666666667,1.1547005383792517,0.4861111111111111,0.1463285243451769,4,6.0,counselling,Counseling session (Anthropic Econ Index),automation,0.4861111111111111,6.0,panel_aggregate,aggregate
