model_id,model_label,scaffold_path,scaffold_sha256,n_chars
gpt-4.1,GPT-4.1,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/tax_prep/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-4.1.md,61632f5fdc3e7bcd8cd8d651941d3a2d7ca3e8a62111591552ead7e482ad3c18,4658
openai/gpt-oss-120b,GPT-OSS-120B,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/tax_prep/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-OSS-120B.md,5e2afd45c38f395edcfd1d5418ffd0bf2845784759dc6dce00222ac8ebde6bd1,1521
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/tax_prep/20260609_stable_frontier_v2/augmentation/scaffolds/Claude-Sonnet-4.6.md,21418eaee7bed583325a0434212822975d493658e385c1b138411a12354ef50c,4469
anthropic/claude-opus-4-8,Claude-Opus-4.8,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/tax_prep/20260609_stable_frontier_v2/augmentation/scaffolds/Claude-Opus-4.8.md,c272a9e61bfbf82ad84aebfa06375d5d6c6e370efb4c6dec2fd84c25e2355f92,2850
google/gemini-3.1-pro,Gemini-3.1-Pro,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/tax_prep/20260609_stable_frontier_v2/augmentation/scaffolds/Gemini-3.1-Pro.md,a4be147e6b49790e1d65e2368fc01265010091b6bede725f46f0520f374b6717,612
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/tax_prep/20260609_stable_frontier_v2/augmentation/scaffolds/DeepSeek-V3.1.md,a903c3d00dc3f96a95dee95c14a85ae227bcf1de2c8617990c1979a09b7d4bfb,5038
gpt-5-pro,GPT-5-Pro,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/tax_prep/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-5-Pro.md,3d2c9cc3b86f68fe81b6353198d60bdeac0ea7eb8e2172ffb347b26628f634eb,51
o4-mini-2025-04-16,GPT-O4-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/tax_prep/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-O4-Mini.md,ba48fd86fbb109f9ddb1b5e5429558b092d151db2271843f82c0700489dcef4b,1642
o3-mini-2025-01-31,GPT-O3-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/tax_prep/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-O3-Mini.md,7698638eb536c31ec4ce80e3ab9db06d37e3b36e0e33b170596b5f8805d4d80e,5609
gpt-5-mini-2025-08-07,GPT-5-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/tax_prep/20260609_stable_frontier_v2/augmentation/scaffolds/GPT-5-Mini.md,0768a6cb2841e0e1d2924ba64a9e16e6b05b5896c89ad2e5bb95da0f5f2d2ab5,7568
