run_id,task,mode,judge_model,judge_label,pairwise_rows,parsed_rows,parse_pass_rate,batch_ok,included_in_aggregate
20260629_public_rep4,counselling,augmentation,gpt-4.1,GPT-4.1,10,10,1.0,True,True
20260629_public_rep4,counselling,augmentation,anthropic/claude-opus-4-8,Claude-Opus-4.8,28,28,1.0,True,True
20260629_public_rep4,counselling,augmentation,google/gemini-3.1-pro,Gemini-3.1-Pro,36,34,0.9444,True,True
20260629_public_rep4,counselling,augmentation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,36,36,1.0,True,True
20260629_public_rep4,counselling,automation,gpt-4.1,GPT-4.1,6,6,1.0,True,True
20260629_public_rep4,counselling,automation,anthropic/claude-opus-4-8,Claude-Opus-4.8,28,28,1.0,True,True
20260629_public_rep4,counselling,automation,google/gemini-3.1-pro,Gemini-3.1-Pro,36,35,0.9722,True,True
20260629_public_rep4,counselling,automation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,36,35,0.9722,True,True
20260629_public_rep4,market_trends,augmentation,gpt-4.1,GPT-4.1,10,10,1.0,True,True
20260629_public_rep4,market_trends,augmentation,anthropic/claude-opus-4-8,Claude-Opus-4.8,28,28,1.0,True,True
20260629_public_rep4,market_trends,augmentation,google/gemini-3.1-pro,Gemini-3.1-Pro,36,36,1.0,True,True
20260629_public_rep4,market_trends,augmentation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,36,36,1.0,True,True
20260629_public_rep4,market_trends,automation,gpt-4.1,GPT-4.1,6,6,1.0,True,True
20260629_public_rep4,market_trends,automation,anthropic/claude-opus-4-8,Claude-Opus-4.8,28,28,1.0,True,True
20260629_public_rep4,market_trends,automation,google/gemini-3.1-pro,Gemini-3.1-Pro,36,33,0.9167,True,True
20260629_public_rep4,market_trends,automation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,36,36,1.0,True,True
20260629_public_rep4,meal_plan,augmentation,gpt-4.1,GPT-4.1,10,10,1.0,True,True
