model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,automation_Claude-Opus-4.8,4.0,0.6805555555555555
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,6.0,0.4861111111111111
DeepSeek-V3.1,automation_DeepSeek-V3.1,5.0,0.5634920634920635
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,10.0,0.0
GPT-4.1,automation_GPT-4.1,7.5,0.4761904761904762
GPT-5-Mini,automation_GPT-5-Mini,7.5,0.4761904761904762
GPT-O3-Mini,automation_GPT-O3-Mini,9.0,0.1726190476190476
GPT-O4-Mini,automation_GPT-O4-Mini,3.0,0.6845238095238096
GPT-OSS-120B,automation_GPT-OSS-120B,1.0,0.7380952380952381
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,2.0,0.7222222222222222
