model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,3.0,2.0,0.6666666666666666,0.28867513459481287,4,1.0
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.0,1.8027756377319946,0.625,0.375,4,2.0
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.1666666666666665,1.2583057392117918,0.6130952380952381,0.32455490190989494,4,3.0
plain,plain,plain,3.625,3.5910769044025406,0.5892857142857143,0.39609058951462206,4,4.0
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,4.166666666666667,1.6072751268321592,0.5535714285714285,0.2402432865548877,4,5.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,4.5,2.7838821814150108,0.5416666666666666,0.19094065395649334,4,6.0
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,4.333333333333333,3.5118845842842465,0.5238095238095238,0.37726075898787675,4,7.0
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,5.666666666666667,1.5275252316519468,0.42857142857142855,0.17587246074635904,4,8.0
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,6.333333333333333,0.5773502691896257,0.3452380952380952,0.05154913117764517,4,9.0
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,8.0,1.0,0.08333333333333333,0.14433756729740646,4,10.0
