model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,1.6666666666666667,0.5773502691896258,0.8690476190476191,0.12542444943872308,4,1.0
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,2.3333333333333335,0.5773502691896257,0.7857142857142857,0.061858957413174195,4,2.0
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,3.0,1.7320508075688772,0.7440476190476191,0.21153994814186738,4,3.0
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,4.166666666666667,1.0408329997330665,0.5,0.0,4,4.0
plain,plain,plain,4.625,2.688710967483613,0.48214285714285715,0.20722494268487154,4,5.0
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,4.666666666666667,2.309401076758503,0.4702380952380952,0.24635954864970094,4,6.0
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,5.5,2.179449471770337,0.44047619047619047,0.1687791295090217,4,7.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,6.166666666666667,2.753785273643051,0.3333333333333333,0.14433756729740646,4,8.0
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,6.0,2.6457513110645907,0.2976190476190476,0.18327147998024587,4,9.0
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,7.333333333333333,2.0816659994661326,0.08333333333333333,0.14433756729740646,4,10.0
