model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,5.0,0.5416666666666666
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,6.0,0.5
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,8.0,0.26785714285714285
GPT-4.1,scaffold_GPT-4.1,4.0,0.7023809523809524
GPT-5-Mini,scaffold_GPT-5-Mini,1.5,0.7857142857142857
GPT-O3-Mini,scaffold_GPT-O3-Mini,3.0,0.7261904761904763
GPT-O4-Mini,scaffold_GPT-O4-Mini,1.5,0.7857142857142857
GPT-OSS-120B,scaffold_GPT-OSS-120B,10.0,0.125
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,7.0,0.39285714285714285
plain,plain,9.0,0.2544642857142857
