model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,automation_Claude-Opus-4.8,1.0,0.7638888888888888
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,6.0,0.5277777777777778
DeepSeek-V3.1,automation_DeepSeek-V3.1,5.0,0.6468253968253969
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,10.0,0.0
GPT-4.1,automation_GPT-4.1,8.0,0.30952380952380953
GPT-5-Mini,automation_GPT-5-Mini,3.0,0.7321428571428571
GPT-O3-Mini,automation_GPT-O3-Mini,9.0,0.17857142857142858
GPT-O4-Mini,automation_GPT-O4-Mini,2.0,0.7440476190476191
GPT-OSS-120B,automation_GPT-OSS-120B,7.0,0.4226190476190476
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,4.0,0.6746031746031745
