judge_model,model_id,model_label,condition,avg_rank,avg_win_rate,total_wins,total_games
anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,1.0,0.9523809523809523,20.0,21.0
anthropic/claude-opus-4-8,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,2.0,0.9047619047619048,19.0,21.0
anthropic/claude-opus-4-8,o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,3.0,0.7142857142857143,15.0,21.0
anthropic/claude-opus-4-8,gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,4.0,0.5714285714285714,12.0,21.0
anthropic/claude-opus-4-8,gpt-4.1,GPT-4.1,automation_GPT-4.1,5.0,0.42857142857142855,9.0,21.0
anthropic/claude-opus-4-8,openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,6.0,0.2857142857142857,6.0,21.0
anthropic/claude-opus-4-8,o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,7.0,0.14285714285714285,3.0,21.0
anthropic/claude-opus-4-8,gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.0,0.0,0.0,21.0
anthropic/claude-opus-4-8,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,,,0.0,0.0
anthropic/claude-opus-4-8,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,,,0.0,0.0
deepseek-ai/DeepSeek-V3.1,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,1.0,0.7916666666666666,19.0,24.0
deepseek-ai/DeepSeek-V3.1,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,2.5,0.75,18.0,24.0
deepseek-ai/DeepSeek-V3.1,gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,2.5,0.75,18.0,24.0
deepseek-ai/DeepSeek-V3.1,o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,4.0,0.6666666666666666,16.0,24.0
deepseek-ai/DeepSeek-V3.1,openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,5.0,0.625,15.0,24.0
deepseek-ai/DeepSeek-V3.1,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,6.0,0.5416666666666666,13.0,24.0
deepseek-ai/DeepSeek-V3.1,gpt-4.1,GPT-4.1,automation_GPT-4.1,7.0,0.25,6.0,24.0
deepseek-ai/DeepSeek-V3.1,o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,8.0,0.125,3.0,24.0
deepseek-ai/DeepSeek-V3.1,gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,9.0,0.0,0.0,24.0
deepseek-ai/DeepSeek-V3.1,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,,,0.0,0.0
google/gemini-3.1-pro,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,1.0,1.0,24.0,24.0
google/gemini-3.1-pro,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,2.0,0.7083333333333334,17.0,24.0
google/gemini-3.1-pro,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,3.0,0.625,15.0,24.0
google/gemini-3.1-pro,o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,4.0,0.5416666666666666,13.0,24.0
google/gemini-3.1-pro,gpt-4.1,GPT-4.1,automation_GPT-4.1,6.0,0.5,12.0,24.0
google/gemini-3.1-pro,gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,6.0,0.5,12.0,24.0
google/gemini-3.1-pro,openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,6.0,0.5,12.0,24.0
google/gemini-3.1-pro,o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,8.0,0.125,3.0,24.0
google/gemini-3.1-pro,gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,9.0,0.0,0.0,24.0
