model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,2.0,0.625
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,5.0,0.4583333333333333
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,7.0,0.43452380952380953
GPT-4.1,scaffold_GPT-4.1,8.0,0.39285714285714285
GPT-5-Mini,scaffold_GPT-5-Mini,3.0,0.5238095238095238
GPT-O3-Mini,scaffold_GPT-O3-Mini,6.0,0.44047619047619047
GPT-O4-Mini,scaffold_GPT-O4-Mini,9.0,0.38095238095238093
GPT-OSS-120B,scaffold_GPT-OSS-120B,1.0,0.875
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,10.0,0.3511904761904762
plain,plain,4.0,0.5133928571428572
