scope,judge_a,judge_b,n_pairs,mean_abs_gap,within_one_share,method,correlation
all,Claude-Opus-4.8,DeepSeek-V3.1,98,1.780612244897959,0.47959183673469385,spearman,0.5326164899888541
all,Claude-Opus-4.8,DeepSeek-V3.1,98,1.780612244897959,0.47959183673469385,pearson,0.549522372080559
all,Claude-Opus-4.8,google/gemini-3.1-pro,98,1.75,0.5,spearman,0.6185382698609132
all,Claude-Opus-4.8,google/gemini-3.1-pro,98,1.75,0.5,pearson,0.6196514340794442
all,Claude-Opus-4.8,GPT-4.1,35,2.6285714285714286,0.2857142857142857,spearman,-0.15255099745889145
all,Claude-Opus-4.8,GPT-4.1,35,2.6285714285714286,0.2857142857142857,pearson,-0.10981099977449392
all,DeepSeek-V3.1,google/gemini-3.1-pro,112,1.9553571428571428,0.36607142857142855,spearman,0.5083977307931554
all,DeepSeek-V3.1,google/gemini-3.1-pro,112,1.9553571428571428,0.36607142857142855,pearson,0.5185180450506192
all,DeepSeek-V3.1,GPT-4.1,49,3.693877551020408,0.04081632653061224,spearman,0.3360823691169535
all,DeepSeek-V3.1,GPT-4.1,49,3.693877551020408,0.04081632653061224,pearson,0.3052983277986147
all,google/gemini-3.1-pro,GPT-4.1,49,2.173469387755102,0.3469387755102041,spearman,0.37769008569709084
all,google/gemini-3.1-pro,GPT-4.1,49,2.173469387755102,0.3469387755102041,pearson,0.430273135134674
augmentation,Claude-Opus-4.8,DeepSeek-V3.1,49,1.7346938775510203,0.40816326530612246,spearman,0.626513226900566
augmentation,Claude-Opus-4.8,DeepSeek-V3.1,49,1.7346938775510203,0.40816326530612246,pearson,0.6171185883467918
augmentation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.4795918367346939,0.5714285714285714,spearman,0.693450758620732
augmentation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.4795918367346939,0.5714285714285714,pearson,0.6935213636446271
augmentation,Claude-Opus-4.8,GPT-4.1,21,2.9523809523809526,0.19047619047619047,spearman,-0.23235909817009856
augmentation,Claude-Opus-4.8,GPT-4.1,21,2.9523809523809526,0.19047619047619047,pearson,-0.21800877866101817
augmentation,DeepSeek-V3.1,google/gemini-3.1-pro,56,1.8660714285714286,0.44642857142857145,spearman,0.5110122957160813
augmentation,DeepSeek-V3.1,google/gemini-3.1-pro,56,1.8660714285714286,0.44642857142857145,pearson,0.5199542804424528
augmentation,DeepSeek-V3.1,GPT-4.1,28,4.035714285714286,0.0,spearman,0.2666371318091623
augmentation,DeepSeek-V3.1,GPT-4.1,28,4.035714285714286,0.0,pearson,0.18784915021206572
augmentation,google/gemini-3.1-pro,GPT-4.1,28,2.875,0.17857142857142858,spearman,0.2596982582997882
augmentation,google/gemini-3.1-pro,GPT-4.1,28,2.875,0.17857142857142858,pearson,0.2490405700193918
automation,Claude-Opus-4.8,DeepSeek-V3.1,49,1.8265306122448979,0.5510204081632653,spearman,0.47401895447245473
automation,Claude-Opus-4.8,DeepSeek-V3.1,49,1.8265306122448979,0.5510204081632653,pearson,0.4897649685477217
automation,Claude-Opus-4.8,google/gemini-3.1-pro,49,2.020408163265306,0.42857142857142855,spearman,0.5489303890566083
automation,Claude-Opus-4.8,google/gemini-3.1-pro,49,2.020408163265306,0.42857142857142855,pearson,0.5446761074942439
automation,Claude-Opus-4.8,GPT-4.1,14,2.142857142857143,0.42857142857142855,spearman,0.134679734797906
automation,Claude-Opus-4.8,GPT-4.1,14,2.142857142857143,0.42857142857142855,pearson,0.1404713699609903
automation,DeepSeek-V3.1,google/gemini-3.1-pro,56,2.044642857142857,0.2857142857142857,spearman,0.4962533405355615
automation,DeepSeek-V3.1,google/gemini-3.1-pro,56,2.044642857142857,0.2857142857142857,pearson,0.5168255613436012
automation,DeepSeek-V3.1,GPT-4.1,21,3.238095238095238,0.09523809523809523,spearman,0.3708801734648867
automation,DeepSeek-V3.1,GPT-4.1,21,3.238095238095238,0.09523809523809523,pearson,0.3754671886544783
automation,google/gemini-3.1-pro,GPT-4.1,21,1.2380952380952381,0.5714285714285714,spearman,0.7528355488659948
automation,google/gemini-3.1-pro,GPT-4.1,21,1.2380952380952381,0.5714285714285714,pearson,0.7161628773942527
