model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank,task_slug,task_title,mode,score,rank_value,source,judge_model
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,1.0,0.0,1.0,0.0,4,1.0,counselling,Counseling session (Anthropic Econ Index),augmentation,1.0,1.0,panel_aggregate,aggregate
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,3.1666666666666665,1.2583057392117916,0.7380952380952381,0.1266892657963854,4,2.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.7380952380952381,2.0,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,3.5,0.8660254037844386,0.6488095238095238,0.0916357399901229,4,3.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.6488095238095238,3.0,panel_aggregate,aggregate
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.0,1.3228756555322954,0.6190476190476191,0.3240632759241952,4,4.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.6190476190476191,4.0,panel_aggregate,aggregate
plain,plain,plain,4.625,2.9261749776799064,0.4776785714285714,0.3212218250436195,4,5.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.4776785714285714,5.0,panel_aggregate,aggregate
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,5.0,1.7320508075688772,0.4166666666666667,0.0721687836487032,4,6.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.4166666666666667,6.0,panel_aggregate,aggregate
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,5.833333333333333,1.2583057392117918,0.3809523809523809,0.2411265369110606,4,7.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.3809523809523809,7.0,panel_aggregate,aggregate
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,6.0,1.0,0.3511904761904762,0.0916357399901229,4,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.3511904761904762,8.0,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,6.166666666666667,4.0722639076235385,0.2916666666666667,0.4018187817080398,4,9.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.2916666666666667,9.0,panel_aggregate,aggregate
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,7.166666666666667,2.3629078131263044,0.0833333333333333,0.1443375672974064,4,10.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.0833333333333333,10.0,panel_aggregate,aggregate
