model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,7.0,0.4166666666666667
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,6.0,0.5
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,5.0,0.5833333333333334
GPT-4.1,scaffold_GPT-4.1,4.0,0.6011904761904762
GPT-5-Mini,scaffold_GPT-5-Mini,8.0,0.3452380952380952
GPT-O3-Mini,scaffold_GPT-O3-Mini,3.0,0.6547619047619048
GPT-O4-Mini,scaffold_GPT-O4-Mini,2.0,0.6904761904761904
GPT-OSS-120B,scaffold_GPT-OSS-120B,10.0,0.16666666666666666
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,9.0,0.21428571428571427
plain,plain,1.0,0.7455357142857143
