judge_model,item_id,left_idx,right_idx,replicate_id,scored_option,dimension,score,model_id,model_label,condition
gpt-4.1,1,1,0,0,option_1,general_accuracy_specificity,7.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,0,option_1,general_instruction_following,8.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,0,option_1,general_organization_readability,6.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,0,option_1,general_practical_usefulness,7.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,0,option_1,general_tone_audience_fit,7.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,0,option_1,task_dimension_1,7.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,0,option_1,task_dimension_2,6.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,0,option_1,task_dimension_3,8.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,0,option_1,task_dimension_4,7.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,0,option_1,task_dimension_5,6.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,0,option_1,task_dimension_6,7.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,0,1,0,0,option_2,general_accuracy_specificity,5.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,1,0,0,option_2,general_instruction_following,6.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,1,0,0,option_2,general_organization_readability,5.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,1,0,0,option_2,general_practical_usefulness,5.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,1,0,0,option_2,general_tone_audience_fit,5.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,1,0,0,option_2,task_dimension_1,5.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,1,0,0,option_2,task_dimension_2,4.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,1,0,0,option_2,task_dimension_3,6.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,1,0,0,option_2,task_dimension_4,5.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,1,0,0,option_2,task_dimension_5,4.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,1,0,0,option_2,task_dimension_6,5.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,0,1,1,option_1,general_accuracy_specificity,7.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,0,1,1,option_1,general_instruction_following,8.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,0,1,1,option_1,general_organization_readability,6.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,0,1,1,option_1,general_practical_usefulness,7.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,0,1,1,option_1,general_tone_audience_fit,7.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,0,1,1,option_1,task_dimension_1,7.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,0,1,1,option_1,task_dimension_2,6.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,0,1,1,option_1,task_dimension_3,8.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,0,1,1,option_1,task_dimension_4,7.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,0,1,1,option_1,task_dimension_5,6.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,0,1,1,option_1,task_dimension_6,7.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,1,0,1,1,option_2,general_accuracy_specificity,5.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,0,1,1,option_2,general_instruction_following,6.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,0,1,1,option_2,general_organization_readability,5.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,0,1,1,option_2,general_practical_usefulness,5.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,0,1,1,option_2,general_tone_audience_fit,5.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,0,1,1,option_2,task_dimension_1,5.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,0,1,1,option_2,task_dimension_2,4.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,0,1,1,option_2,task_dimension_3,6.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,0,1,1,option_2,task_dimension_4,5.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,0,1,1,option_2,task_dimension_5,4.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,0,1,1,option_2,task_dimension_6,5.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,2,option_1,general_accuracy_specificity,7.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,2,option_1,general_instruction_following,8.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,2,option_1,general_organization_readability,6.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,2,option_1,general_practical_usefulness,7.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,2,option_1,general_tone_audience_fit,7.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,2,option_1,task_dimension_1,7.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,2,option_1,task_dimension_2,6.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,2,option_1,task_dimension_3,8.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,2,option_1,task_dimension_4,7.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,2,option_1,task_dimension_5,6.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,1,1,0,2,option_1,task_dimension_6,7.0,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro
gpt-4.1,0,1,0,2,option_2,general_accuracy_specificity,5.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,1,0,2,option_2,general_instruction_following,6.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,1,0,2,option_2,general_organization_readability,5.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,1,0,2,option_2,general_practical_usefulness,5.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,1,0,2,option_2,general_tone_audience_fit,5.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,1,0,2,option_2,task_dimension_1,5.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,1,0,2,option_2,task_dimension_2,4.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,1,0,2,option_2,task_dimension_3,6.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,1,0,2,option_2,task_dimension_4,5.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,1,0,2,option_2,task_dimension_5,4.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,0,1,0,2,option_2,task_dimension_6,5.0,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1
gpt-4.1,7,7,0,0,option_1,general_accuracy_specificity,7.0,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8
gpt-4.1,7,7,0,0,option_1,general_instruction_following,8.0,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8
gpt-4.1,7,7,0,0,option_1,general_organization_readability,6.0,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8
gpt-4.1,7,7,0,0,option_1,general_practical_usefulness,7.0,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8
gpt-4.1,7,7,0,0,option_1,general_tone_audience_fit,7.0,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8
