model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,5.5,0.5
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,5.5,0.5
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,10.0,0.1726190476190476
GPT-4.1,scaffold_GPT-4.1,4.0,0.5238095238095238
GPT-5-Mini,scaffold_GPT-5-Mini,9.0,0.30357142857142855
GPT-O3-Mini,scaffold_GPT-O3-Mini,3.0,0.5952380952380952
GPT-O4-Mini,scaffold_GPT-O4-Mini,8.0,0.3511904761904762
GPT-OSS-120B,scaffold_GPT-OSS-120B,2.0,0.7023809523809524
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,7.0,0.43452380952380953
plain,plain,1.0,0.8125
