model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,4.0,0.5625
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,7.0,0.375
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.0,0.6071428571428572
GPT-4.1,scaffold_GPT-4.1,5.0,0.5446428571428572
GPT-5-Mini,scaffold_GPT-5-Mini,1.0,0.9375
GPT-O3-Mini,scaffold_GPT-O3-Mini,10.0,0.25
GPT-O4-Mini,scaffold_GPT-O4-Mini,6.0,0.45535714285714285
GPT-OSS-120B,scaffold_GPT-OSS-120B,2.0,0.8571428571428572
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,8.5,0.30357142857142855
plain,plain,8.5,0.30357142857142855
