model_label,condition,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,gpt-4.1
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,,3.5,3.0
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,,7.0,3.0
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.0,,3.0
GPT-4.1,scaffold_GPT-4.1,3.0,6.0,
GPT-5-Mini,scaffold_GPT-5-Mini,1.0,2.0,
GPT-O3-Mini,scaffold_GPT-O3-Mini,8.0,5.0,
GPT-O4-Mini,scaffold_GPT-O4-Mini,6.0,3.5,
GPT-OSS-120B,scaffold_GPT-OSS-120B,3.0,1.0,
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,6.0,8.5,3.0
plain,plain,6.0,8.5,3.0
