worker_model,assistant_model,condition,avg_rank,sd_rank,avg_win_rate,sd_win_rate,avg_total_wins,avg_total_games,n_runs
gpt-3.5-turbo,GPT-OSS-120B,scaffold_GPT-OSS-120B,1.0,0.0,1.0,0.0,27.0,27.0,5
gpt-3.5-turbo,GPT-O4-Mini,scaffold_GPT-O4-Mini,2.0,0.0,0.888888888888889,0.0,24.0,27.0,5
gpt-3.5-turbo,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.066666666666667,0.14907119849998615,0.7703703703703704,0.016563466499998396,20.8,27.0,5
gpt-3.5-turbo,Claude-Opus-4.6,scaffold_Claude-Opus-4.6,3.9333333333333327,0.14907119849998615,0.674074074074074,0.016563466499998413,18.2,27.0,5
gpt-3.5-turbo,GPT-O3-Mini,scaffold_GPT-O3-Mini,5.0,0.0,0.5555555555555556,0.0,15.0,27.0,5
gpt-3.5-turbo,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,6.066666666666666,0.14907119849998557,0.437037037037037,0.01656346649999843,11.8,27.0,5
gpt-3.5-turbo,Claude-3.5-Sonnet,scaffold_Claude-3.5-Sonnet,7.0,0.0,0.3333333333333333,0.0,9.0,27.0,5
gpt-3.5-turbo,plain,plain,7.9333333333333345,0.14907119849998557,0.22962962962962963,0.016563466499998437,6.2,27.0,5
gpt-3.5-turbo,GPT-4.1,scaffold_GPT-4.1,9.0,0.0,0.11111111111111112,0.0,3.0,27.0,5
gpt-3.5-turbo,GPT-5.4,scaffold_GPT-5.4,10.0,0.0,0.0,0.0,0.0,27.0,5
