scope,judge_a,judge_b,n_pairs,mean_abs_gap,within_one_share,method,correlation
all,Claude-Opus-4.8,DeepSeek-V3.1,98,1.6938775510204083,0.5306122448979592,spearman,0.603210662864665
all,Claude-Opus-4.8,DeepSeek-V3.1,98,1.6938775510204083,0.5306122448979592,pearson,0.6013675815627869
all,Claude-Opus-4.8,google/gemini-3.1-pro,98,1.6173469387755102,0.5510204081632653,spearman,0.6372077140691124
all,Claude-Opus-4.8,google/gemini-3.1-pro,98,1.6173469387755102,0.5510204081632653,pearson,0.6317404497992587
all,Claude-Opus-4.8,GPT-4.1,35,1.7857142857142858,0.45714285714285713,spearman,0.19791703289018933
all,Claude-Opus-4.8,GPT-4.1,35,1.7857142857142858,0.45714285714285713,pearson,0.2578877108633459
all,DeepSeek-V3.1,google/gemini-3.1-pro,112,1.7232142857142858,0.4732142857142857,spearman,0.5794868903578764
all,DeepSeek-V3.1,google/gemini-3.1-pro,112,1.7232142857142858,0.4732142857142857,pearson,0.5790209369897515
all,DeepSeek-V3.1,GPT-4.1,49,2.142857142857143,0.3877551020408163,spearman,0.3995783773417498
all,DeepSeek-V3.1,GPT-4.1,49,2.142857142857143,0.3877551020408163,pearson,0.42324663119924016
all,google/gemini-3.1-pro,GPT-4.1,49,2.63265306122449,0.32653061224489793,spearman,0.035620141598690994
all,google/gemini-3.1-pro,GPT-4.1,49,2.63265306122449,0.32653061224489793,pearson,0.09454448166753338
augmentation,Claude-Opus-4.8,DeepSeek-V3.1,49,1.7959183673469388,0.4897959183673469,spearman,0.5066384277748056
augmentation,Claude-Opus-4.8,DeepSeek-V3.1,49,1.7959183673469388,0.4897959183673469,pearson,0.5045697764278273
augmentation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.8775510204081634,0.4897959183673469,spearman,0.4777353041847947
augmentation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.8775510204081634,0.4897959183673469,pearson,0.4860145279179187
augmentation,Claude-Opus-4.8,GPT-4.1,21,2.119047619047619,0.38095238095238093,spearman,0.22345941714039225
augmentation,Claude-Opus-4.8,GPT-4.1,21,2.119047619047619,0.38095238095238093,pearson,0.22943999225586728
augmentation,DeepSeek-V3.1,google/gemini-3.1-pro,56,2.25,0.375,spearman,0.3351098740385332
augmentation,DeepSeek-V3.1,google/gemini-3.1-pro,56,2.25,0.375,pearson,0.3345441179061843
augmentation,DeepSeek-V3.1,GPT-4.1,28,2.625,0.32142857142857145,spearman,0.5135060247775382
augmentation,DeepSeek-V3.1,GPT-4.1,28,2.625,0.32142857142857145,pearson,0.5396628003113966
augmentation,google/gemini-3.1-pro,GPT-4.1,28,3.0714285714285716,0.2857142857142857,spearman,0.15858591503933542
augmentation,google/gemini-3.1-pro,GPT-4.1,28,3.0714285714285716,0.2857142857142857,pearson,0.13988375826670732
automation,Claude-Opus-4.8,DeepSeek-V3.1,49,1.5918367346938775,0.5714285714285714,spearman,0.7401928416324469
automation,Claude-Opus-4.8,DeepSeek-V3.1,49,1.5918367346938775,0.5714285714285714,pearson,0.7113449377172096
automation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.3571428571428572,0.6122448979591837,spearman,0.8349615148312433
automation,Claude-Opus-4.8,google/gemini-3.1-pro,49,1.3571428571428572,0.6122448979591837,pearson,0.8047909612758226
automation,Claude-Opus-4.8,GPT-4.1,14,1.2857142857142858,0.5714285714285714,spearman,0.14835872715428688
automation,Claude-Opus-4.8,GPT-4.1,14,1.2857142857142858,0.5714285714285714,pearson,0.05448544852668903
automation,DeepSeek-V3.1,google/gemini-3.1-pro,56,1.1964285714285714,0.5714285714285714,spearman,0.8065829042096123
automation,DeepSeek-V3.1,google/gemini-3.1-pro,56,1.1964285714285714,0.5714285714285714,pearson,0.8044566954569907
automation,DeepSeek-V3.1,GPT-4.1,21,1.5,0.47619047619047616,spearman,0.1116683945191086
automation,DeepSeek-V3.1,GPT-4.1,21,1.5,0.47619047619047616,pearson,0.14225963961655144
automation,google/gemini-3.1-pro,GPT-4.1,21,2.0476190476190474,0.38095238095238093,spearman,-0.20333572872531724
automation,google/gemini-3.1-pro,GPT-4.1,21,2.0476190476190474,0.38095238095238093,pearson,-0.21573600945384291
